"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"125",1919,469905,"EDCS-28400227","HD060341",1,150,"Veneri A[ug(ustae)] / sacr(um) Egnatia / C(ai) f(ilia) Paullina s(olvit) / l(ibens) m(erito)","Veneri Augustae sacrum Egnatia Cai filia Paullina solvit libens merito","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Nin / Aenona","Aenona","Nin","mulieres, tria nomina",44.2435,15.1842,1
"126",1939,469925,"EDCS-30400580","HD060335",1,150,"L(ucius) Cornelius / Sabinus / Silvano v(otum) s(olvit) l(ibens) m(erito)","Lucius Cornelius Sabinus Silvano votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Nin / Aenona","Aenona","Vir, Insel - Nin, zwischen","tria nomina, viri",44.2435,15.1842,1
"127",1944,469930,"EDCS-32300057","HD034574",1,150,"[Silva?]no sac[rum] / [--- Co]rneliu[s ---] / [v(otum)? s(olvit)? l(ibens)?] m(erito?)","Silvano sacrum Cornelius votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Nin / Aenona","Aenona","Nin","viri",44.2435,15.1842,1
"128",1946,469932,"EDCS-32300059","HD060345",1,150,"Curtic(us?) / Ser(gia) [---] / [------] / v(otum) s(olvit) l(ibens) [m(erito)]","Curticus Sergia votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Nin / Aenona","Aenona","Privlaka, bei","viri",44.2435,15.1842,1
"129",1974,469960,"EDCS-15700109","HD020721",1,150,"Veneri Ansotic(ae) / sacrum / Baebia C(ai) f(ilia) Maximil/la ex testament(o) / L(uci) Corneli Bassi fecit","Veneri Ansoticae sacrum Baebia Cai filia Maximilla ex testamento Luci Corneli Bassi fecit","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Nin / Aenona","Aenona","Nin","mulieres, tria nomina, viri",44.2435,15.1842,1
"130",1975,469961,"EDCS-15900045","HD021960",1,150,"T(itus) Appuleius T(iti) L(uci) l(ibertus) Antigonius / Anzoticae / v(otum) s(olvit)","Titus Appuleius Titi Luci libertus Antigonius Anzoticae votum solvit","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Nin / Aenona","Aenona","Nin","liberti/libertae, tria nomina, viri",44.2435,15.1842,1
"131",2032,470025,"EDCS-28400390","HD062324",1,150,"Artifici/bus Miner(vae) / Babullia / Sex(ti) f(ilia) Maxi/[m]a v(otum) s(olvit)","Artificibus Minervae Babullia Sexti filia Maxima votum solvit","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Osor / Opsorus","Apsorus","Mali Lošinj","mulieres, tria nomina",44.693,14.3919,1
"132",2187,470185,"EDCS-28400287","HD061843",1,150,"M(arcus) / Vipsanus / M(arci) l(ibertus) / Faustus / Icae / v(otum) s(olvit) l(ibens) m(erito)","Marcus Vipsanus Marci libertus Faustus Icae votum solvit libens merito","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Plomin / Flanona","Flanona","Kršan","liberti/libertae, tria nomina, viri",45.1382,14.1801,1
"133",2188,470186,"EDCS-28400288","HD061844",1,150,"Iriae Aug(ustae) / in memoriam / Vibiae Portiae / matris / Aquilia Q(uinti) f(ilia) Colatina / d(onum) d(edit)","Iriae Augustae in memoriam Vibiae Portiae matris Aquilia Quinti filia Colatina donum dedit","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Plomin / Flanona","Flanona","Kršan","mulieres, tria nomina",45.1382,14.1801,1
"134",2189,470187,"EDCS-28400289","HD061845",1,150,"Iri(a)e Veneri / C(aia) Vale(ria) Optati &lt;f=E&gt;(ilia) / Felicula / v(otum) s(olvit) l(ibens) m(erito) ","Iriae Veneri Caia Valeria Optati lt f gt ilia Felicula votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Plomin / Flanona","NULL","Kršan","nomen singulare, tria nomina, viri",45.1380212,14.1801746,1
"135",2264,470262,"EDCS-30301439","HD058026",1,150,"------] / ANOI(?)[---] / L(ucius) Publicius / Tertius / v(otum) s(olvit) l(ibens) m(erito)","ANOI Lucius Publicius Tertius votum solvit libens merito","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Podgrade / Asseria","Asseria","Benkovac","tria nomina, viri",44.0103,15.6844,1
"136",2265,470263,"EDCS-30301440","HD058027",1,150,"I(ovi) O(ptimo) M(aximo) / Cassia Pa[uli?]/[n?]a ex v[oto] / [--- posuit]","Iovi Optimo Maximo Cassia Paulina ex voto posuit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Podgrade / Asseria","Asseria","Benkovac","mulieres, tria nomina",44.0103,15.6844,1
"137",2266,470264,"EDCS-30301441","HD058028",1,150,"Libero Patri / sac(rum) / Iulia Firmi/lla v(otum) s(olvit) l(ibens) / m(erito)","Libero Patri sacrum Iulia Firmilla votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Podgrade / Asseria","Asseria","Benkovac","mulieres, tria nomina",44.0103,15.6844,1
"138",2267,470265,"EDCS-30301442","HD058029",1,150,"[M(atri)] M(agnae) / C(aius) Petronius / Philippus","Matri Magnae Caius Petronius Philippus","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Podgrade / Asseria","Asseria","Benkovac","tria nomina, viri",44.0103,15.6844,1
"139",2282,470280,"EDCS-31900021","HD058063",1,150,"Minuci(a) / Secunda / v(otum) s(olvit) l(ibens) m(erito)","Minucia Secunda votum solvit libens merito","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Podgrade / Asseria","Asseria","Benkovac","mulieres, tria nomina",44.0103,15.6844,1
"140",2293,470291,"EDCS-10000867","HD034402",1,150,"Volltisa / Iovi v(otum) s(olvit) l(ibens) m(erito) / Caminis l(iberta)","Volltisa Iovi votum solvit libens merito Caminis liberta","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Podgrade / Asseria","Asseria","Benkovac","liberti/libertae, mulieres, nomen singulare, viri",44.0103,15.6844,1
"141",2296,470294,"EDCS-10000870","HD034405",1,150,"------] / T(itus) Domiti/us Severu[s] / [v(otum) s(olvit) l(ibens) m(erito)]","Titus Domitius Severus votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Podgrade / Asseria","Asseria","Benkovac","tria nomina, viri",44.0103,15.6844,1
"142",2304,470302,"EDCS-10000879","HD034504",1,150,"Rubria / Ceuni f(ilia) Pola / Saluti / v(otum) s(olvit) [l(ibens) m(erito)]","Rubria Ceuni filia Pola Saluti votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Podgrade / Asseria","Asseria","Benkovac","mulieres, nomen singulare, tria nomina",44.0103,15.6844,1
"143",2420,470421,"EDCS-28400368","HD057995",1,150,"Iovi / Optimo / Maximo / Sex(tus) Quinctilius / Q(uinti) f(ilius) Seneca veter(anus) / coh(ortis) IIII pr(aetoriae) / v(otum) s(olvit) l(ibens) m(erito)","Iovi Optimo Maximo Sextus Quinctilius Quinti filius Seneca veteranus cohortis IIII praetoriae votum solvit libens merito","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Rab, Otok / Arba","Arba","Rab","milites, tria nomina, viri",44.7565,14.7596,1
"144",2496,470498,"EDCS-10100811","HD033018",1,150,"------] / [Statia] L(uci) f(ilia) / Clementia / Iunoni Lucinae / v(otum) s(olvit) l(ibens) m(erito)","Statia Luci filia Clementia Iunoni Lucinae votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Risan / Risano / Risinium","Acruvium","Tivat","mulieres, tria nomina",42.4438,18.689,1
"145",2588,470591,"EDCS-10000332","HD011817",1,150,"M(agnae) D(eum) M(atri) Aug(ustae) sa[crum] / Verridia Psych[e ---]","Magnae Deum Matri Augustae sacrum Verridia Psyche","votive inscription","votive inscription","architectural member","Dalmatia","Dalmatia","Senj / Segna / Zengg / Senia","Senia","Senj","mulieres, tria nomina",44.9931,14.902,1
"146",2597,470600,"EDCS-55900002","HD065626",1,150,"Harmo/niae sac(rum) / [-](?) Naius / [------","Harmoniae sacrum Naius","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Shkoder / Shkodra / Skutari / Scodra","Scodra","Shkodra","viri",42.0743,19.5277,1
"147",2600,470603,"EDCS-30600021","HD061862",1,150,"I(ovi) O(ptimo) M(aximo) / Apludu[s ---] / MEVERTENS Pl[a]/dom[e]ni filiu[s] / A(?) magi[st]ro(?) [-](?) / pub(lice?)","Iovi Optimo Maximo Apludus MEVERTENS Pladomeni filius A magistro publice","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Sibenik / Rider","Rider","Šibenik","officium/professio, viri",43.7034,16.0486,1
"148",2684,470687,"EDCS-28300133","HD019324",1,150,"Iovi Ta/ranuco / Arria Suc/cessa v(otum) s(olvit)","Iovi Taranuco Arria Successa votum solvit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Skradin / Scardona","Scardona","Skradin","mulieres, tria nomina",43.8227,15.9208,1
"149",2686,470689,"EDCS-28300135","HD061633",1,150,"------] / Mutilia P(ubli) [f(ilia)] / Nertilla / v(otum) s(olvit) l(ibens) m(erito)","Mutilia Publi filia Nertilla votum solvit libens merito","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Skradin / Scardona","Scardona","Skradin","mulieres, tria nomina",43.8227,15.9208,1
"150",2695,470698,"EDCS-28300144","HD061637",1,150,"T(itus) Plotius / Clemens / Libero Pat(ri) / aram / v(otum) s(olvit) l(ibens) m(erito)","Titus Plotius Clemens Libero Patri aram votum solvit libens merito","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Skradin / Scardona","NULL","Tribunj","tria nomina, viri",43.8178655,15.923372,1
"151",2696,470699,"EDCS-28300145","HD061638",1,150,"C(aius) Turranius / C(ai) f(ilius) Severus / evoc(atus) Aug(usti) / [L]atrae aram / p(osuit)","Caius Turranius Cai filius Severus evocatus Augusti Latrae aram posuit","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Skradin / Scardona","NULL","Skradin - Kistanje, zwischen","milites, tria nomina, viri",43.8227,15.9208,1
"152",2703,470706,"EDCS-32300038","HD061660",1,150,"Marti Aug(usto) / sacr(um) / C(aius) Terentius / Celsus evoc(atus) / Aug(usti) v(otum) s(olvit) l(ibens) m(erito)","Marti Augusto sacrum Caius Terentius Celsus evocatus Augusti votum solvit libens merito","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Skradin / Scardona","Alveria","Lišane Ostrovičke","milites, tria nomina, viri",43.9937,15.8139,1
"153",2736,470741,"EDCS-06100479","HD018315",1,150,"[D(eo)](?) S(ilvano) Silv(estri) A(ugusto) s(acrum) / Q(uintus) Bovius / Rufinus / v(otum) s(olvit) l(ibens) m(erito)","Deo Silvano Silvestri Augusto sacrum Quintus Bovius Rufinus votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","tria nomina, viri",43.5384,16.4743,1
"154",2855,470865,"EDCS-27500029","HD053726",1,150,"------] / Caesia / T(iti) f(ilia) / Secunda / Boati / Aesculapio / [------","Caesia Titi filia Secunda Boati Aesculapio","votive inscription","votive inscription","honorific/grave/votive column","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","mulieres, tria nomina",43.5384,16.4743,1
"155",2859,470870,"EDCS-27500031","HD053739",1,150,"Fortunae / Domestic(ae) sac(rum) / A(ulus) Obultronius / Beryllus","Fortunae Domesticae sacrum Aulus Obultronius Beryllus","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","tria nomina, viri",43.5384,16.4743,1
"156",2864,470875,"EDCS-27500035","HD053748",1,150,"I(ovi) O(ptimo) [M(aximo)] / sac[r(um)] / A(ulus) Obu[ltro]/[n]iu[s](?) [---]","Iovi Optimo Maximo sacrum Aulus Obultronius","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","viri",43.5384,16.4743,1
"157",2868,470879,"EDCS-27500038","HD053840",1,150,"Iovi O&lt;pt=E&gt;imo / Maximo / c(a)elesti patrono / G(aius) Caesius Corym/bus et Faberia / Cara v(otum) s(olverunt) l(ibentes) m(erito) ","Iovi O lt pt gt imo Maximo caelesti patrono Gaius Caesius Corymbus et Faberia Cara votum solverunt libentes merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","mulieres, tria nomina, viri",43.5384,16.4743,1
"158",2885,470896,"EDCS-27500050","HD053929",1,150,"Veneri / Victrici / in memoriam / Albuciae C(ai) f(iliae) / Pontiae / uxoris / M(arcus) Marius Pau/lus l(ocus) d(atus) d(ecreto) d(ecurionum)","Veneri Victrici in memoriam Albuciae Cai filiae Pontiae uxoris Marcus Marius Paulus locus datus decreto decurionum","votive inscription","votive inscription","statue base","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","mulieres, tria nomina, viri",43.5384,16.4743,1
"159",3563,471602,"EDCS-30600574","HD062328",1,150,"P(ublius) Valeriu(s) / P(ubli) f(ilius) Rufus / Lymphis sacr(um)","Publius Valerius Publi filius Rufus Lymphis sacrum","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","tria nomina, viri",43.5384,16.4743,1
"160",3585,471629,"EDCS-28701375","HD062338",1,150,"Iovi / Certus filiu[s ------","Iovi Certus filius","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","viri",43.5384,16.4743,1
"161",3604,471648,"EDCS-28701347","HD062379",1,150,"Nymphis / M(arcus) Thorius / Valens / v(otum) s(olvit) l(ibens) m(erito)","Nymphis Marcus Thorius Valens votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Solin / Salona","Salonae","Kaštela","tria nomina, viri",43.5384,16.4743,1
"162",3614,471659,"EDCS-28701357","HD062387",1,150,"Clodia / Maxima / v(otum) s(olvit) l(ibens) m(erito)","Clodia Maxima votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","mulieres, tria nomina",43.5384,16.4743,1
"163",3619,471664,"EDCS-28701361","HD062414",1,150,"C(aius) Sei(us) Nym(---) // v(otum) s(olvit) l(ibens) / m(erito)","Caius Seius Nym votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Solin / Salona","Salonae","Klis, bei","praenomen et nomen, viri",43.5384,16.4743,1
"164",3620,471665,"EDCS-28701382","HD062417",1,150,"C(aius) V(---) M(---) / votum / [------","Caius V M votum","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","tria nomina, viri",43.5384,16.4743,1
"165",4850,473056,"EDCS-32700237","HD028360",1,150,"I(ovi) O(ptimo) M(aximo) / L(ucius) Septumius(!) / Secundus","Iovi Optimo Maximo Lucius Septumius Secundus","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","tria nomina, viri",43.5384,16.4743,1
"166",4852,473058,"EDCS-32700238","HD061573",1,150,"[L]ibero Pat(ri) / Aug(usto) sa[c(rum)] / Iulia A(uli) l(iberta) M[a]/xima ex [v(iso)] / posuit","Libero Patri Augusto sacrum Iulia Auli liberta Maxima ex viso posuit","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","liberti/libertae, mulieres, tria nomina",43.5384,16.4743,1
"167",5125,473366,"EDCS-10000689","HD034089",1,150,"Sex(tus) Erboni/us Ingenu(u)s cu[m] / co(n)iuge et m(atre) / Spei sacr(um)","Sextus Erbonius Ingenuus cum coniuge et matre Spei sacrum","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","mulieres, tria nomina, viri",43.5384,16.4743,1
"168",6235,474683,"EDCS-28300001","HD058436",1,150,"Pullia C(ai) f(ilia) / Surisca / Nimp(h)is(!) / v(otum) s(olvit) l(ibens) m(erito)","Pullia Cai filia Surisca Nimphis votum solvit libens merito","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Trogir / Tragurium","Tragurium","Trogir","mulieres, tria nomina",43.5594,16.524,1
"169",6350,474802,"EDCS-27500159","HD053375",1,150,"Ce[r]eri san[ct(ae)] / C(aius) Frisius Marinus / v(otum) s(olvit) l(ibens) m(erito)","Cereri sanctae Caius Frisius Marinus votum solvit libens merito","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Vid / Narona","Narona","Kula Norinska","tria nomina, viri",43.0801,17.625,1
"170",6358,474810,"EDCS-27500096","HD053380",1,150,"I(ovi) O(ptimo) M(aximo) / L(ucius) Munnius Imnis / v(otum) s(olvit) l(ibens) m(erito)","Iovi Optimo Maximo Lucius Munnius Imnis votum solvit libens merito","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","tria nomina, viri",43.0801,17.625,1
"171",6364,474816,"EDCS-24900090","HD053383",1,150,"L(ucius) Laetili[us ---] / Liber(o) P[atri ---] / eisdem [---]","Lucius Laetilius Libero Patri eisdem","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","viri",43.0801,17.625,1
"172",6370,474822,"EDCS-27500101","HD053385",1,150,"L(ucius) Magius / Princeps / Merc(urio) v(otum) s(olvit)","Lucius Magius Princeps Mercurio votum solvit","votive inscription","votive inscription","honorific/grave/votive column","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","tria nomina, viri",43.0801,17.625,1
"173",6467,474924,"EDCS-31900267","HD060629",1,150,"Libero Pat[ri] / sacrum / M(arcus) Sextius / Epaphroditus","Libero Patri sacrum Marcus Sextius Epaphroditus","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","tria nomina, viri",43.0801,17.625,1
"174",6468,474925,"EDCS-30800076","HD034165",1,150,"------ C?]leme[nti? ------","Clementi","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković",NA,43.0801,17.625,1
"175",6570,475027,"EDCS-28400330","HD061155",1,150,"Q(uintus) Blassius / Firmus Dia/nae conser/[va]trici pos(u)it / [liben]s merito","Quintus Blassius Firmus Dianae conservatrici posuit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Vis / Issa","Issa, insula","Vis","tria nomina, viri",43.0655,16.1865,1
"176",6578,475036,"EDCS-30600034","HD061151",1,150,"I(ovi) O(ptimo) M(aximo) Aug(usto) sacrum / C(aius) Valius Festus conditor vineae huius / loci qui nunc Valianus a Festo dicitur / aeternumque tenet per saecula nomen / voto succepto(!) aram adampliavit et / tauro immolando dedicavit","Iovi Optimo Maximo Augusto sacrum Caius Valius Festus conditor vineae huius loci qui nunc Valianus a Festo dicitur aeternum que tenet per saecula nomen voto succepto aram adampliavit et tauro immolando dedicavit","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Vis / Issa","Issa, insula","Vis","officium/professio, tria nomina, viri",43.0655,16.1865,1
"177",6595,475054,"EDCS-31400258","HD032910",1,150,"C(aius) Aponius / Verus / Silvano / et Genio / Epetinorun(!) / v(otum) s(olvit) l(ibens) m(erito)","Caius Aponius Verus Silvano et Genio Epetinorun votum solvit libens merito","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Visoka","Epetium","Split","tria nomina, viri",43.4987,16.5235,1
"178",6723,475182,"EDCS-28400154","HD060137",1,150,"Apollini Lycio / M(arcus) Publicius / Campanus ae/dituus iussu / ipsius d(edit) d(edicavit)","Apollini Lycio Marcus Publicius Campanus aedituus iussu ipsius dedit dedicavit","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Zadar / Iader","Iader","Zadar, bei","sacerdotes pagani, tria nomina, viri",43.9393,15.4483,1
"179",6726,475185,"EDCS-28400157","HD060138",1,150,"C(aius) Egnatius / Secundus / ara Minervae / libe(n)s","Caius Egnatius Secundus ara Minervae libens","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Zadar / Iader","Iader","Zadar","tria nomina, viri",44.115501,15.223778,1
"180",6747,475206,"EDCS-28400178","HD060211",1,150,"Mariae Q(uinti) f(iliae) / Paullae / d(onum) d(edit)","Mariae Quinti filiae Paullae donum dedit","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Zadar / Iader","Iader","Zadar","mulieres, tria nomina",44.115501,15.223778,1
"181",6872,475334,"EDCS-10000926","HD034584",1,150,"Iovi Optum/o Maximo / Cornelia / C(ai) f(ilia) Tertia / v(otum) s(olvit) l(ibens) m(erito)","Iovi Optumo Maximo Cornelia Cai filia Tertia votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Zadar / Iader","Aenona","Nin","mulieres, tria nomina",44.2435,15.1842,1
"182",727,468677,"EDCS-29900104","HD022580",14,150,"[---]ius / Quir(ina) / Genialis / [viator?] co(n)s(ulum) et / p[raet(orum)] sac[e]rd(os) / at(!) ar[a]m Caesar(i)s / dec(urio?) / [test]amen[to poni] / iussit / [l(ocus) d(atus) d(ecreto)] d(ecurionum)","ius Quirina Genialis viator consulum et praetorum sacerdos at aram Caesaris decurio testamento poni iussit locus datus decreto decurionum","votive inscription","votive inscription","statue base","Dalmatia","Dalmatia","Duklja / Duklje / Rusevine / Doclea","Doclea","Podgorica","Augusti/Augustae, officium/professio, sacerdotes pagani, tria nomina, viri",42.469,19.2615,1
"183",2326,470325,"EDCS-28701300","HD060893",14,150,"M(arcus) Attius Cinna [---](?) / ob honorem Aug(ustalitatis) [---](?) / [------","Marcus Attius Cinna ob honorem Augustalitatis","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Podstrana / Pituntium","Pituntium","Podstrana","seviri Augustales, tria nomina, viri",43.4741,16.5681,1
"184",6354,474806,"EDCS-27500093","HD053377",14,150,"Genio plebis sac(rum) / L(ucius) Septimulenus Vitalis / Q(uintus) Lusius Acrabanus / Q(uintus) Iulius Daphnus / [M(arcus)] Curtius Sporus IIIIIIviri / ob h(onorem) m(agistri) M(ercuriales)","Genio plebis sacrum Lucius Septimulenus Vitalis Quintus Lusius Acrabanus Quintus Iulius Daphnus Marcus Curtius Sporus IIIIII viri ob honorem magistri Mercuriales","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","ordo decurionum, sacerdotes pagani, tria nomina, viri",43.0801,17.625,1
"185",6376,474828,"EDCS-27500161","HD053392",14,150,"Veneri Victri/ci Aug(ustae) sacr(um) C(aius) Ve/sius Cerdo IIIIII/vir TRIB","Veneri Victrici Augustae sacrum Caius Vesius Cerdo IIIIII vir TRIB","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Vid / Narona","Narona","Čapljina","seviri Augustales, tria nomina, viri",43.0645,17.6884,1
"186",6377,474829,"EDCS-27500106","HD053393",14,150,"L(ucius) Lusius Corpio / L(ucius) Lusius Quintio / L(uci) lib(erti) IIIIIIvir(i) / m(agistri) M(ercuriales) ob h(onorem)","Lucius Lusius Corpio Lucius Lusius Quintio Luci liberti IIIIII viri magistri Mercuriales ob honorem","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","liberti/libertae, sacerdotes pagani, seviri Augustales, tria nomina, viri",43.0801,17.625,1
"187",6508,474965,"EDCS-66100166","HD060617",14,150,"------](?) / C(aius) Feresiu[s ---] / Diadume[nus] / IIII[II]vir v(otum) [s(olvit) l(ibens) m(erito)]","Caius Feresius Diadumenus IIIIII vir votum solvit libens merito","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","seviri Augustales, tria nomina, viri",43.0801,17.625,1
"188",97,468021,"EDCS-32300074","HD052278",51,150,"T(itus) Loantius / Rufus / praepositus / Iapodum / v(otum) s(olvit) l(ibens) m(erito)","Titus Loantius Rufus praepositus Iapodum votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","ordo decurionum, tria nomina, viri",44.7885,15.9292,1
"189",1487,469460,"EDCS-08900533","HD006009",51,150,"I(ovi) O(ptimo) M(aximo) [---] / Secund[us] / Aug(usti) lib(ertus) AT[---] / et Alb(ia) Ingen[ua] / cum Secun/dina filia e[x] / v(oto) p(ientissimi?) p(osuerunt)","Iovi Optimo Maximo Secundus Augusti libertus AT et Albia Ingenua cum Secundina filia ex voto pientissimi posuerunt","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Kolovrat / Municipium Splonistarum","NULL","Prijepolje","liberti/libertae, mulieres, tria nomina, viri",43.3691604,19.626587,1
"190",2204,470202,"EDCS-10101917","HD035265",51,150,"[Silvan]o Au[g(usto)] / [sa]cr(um) / [-] Aquilius / Rufus / d(ono) d(at)","Silvano Augusto sacrum Aquilius Rufus dono dat","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Plomin / Flanona","Flanona","Kršan","tria nomina, viri",45.1382,14.1801,1
"191",2205,470203,"EDCS-10101918","HD023356",51,150,"Vestae / Sex(tus) Aquilius / Lucifer / v(otum) s(olvit) l(ibens) m(erito)","Vestae Sextus Aquilius Lucifer votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Plomin / Flanona","Flanona","Kršan","tria nomina, viri",45.1382,14.1801,1
"192",5533,473863,"EDCS-09500131","HD039916",51,150,"Bato Pei/ius Silva[n(o)] / d(onum) d(edit) l(ibens) m(erito)","Bato Peiius Silvano donum dedit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Solin / Salona","Salonae","Kaštela","tria nomina, viri",43.5384,16.4743,1
"193",6559,475016,"EDCS-12000834","HD042302",51,150,"Fortun(a)e / sacrum / C(aius) Agrius / Fortunatus / v(otum) s(olvit) l(ibens) m(erito)","Fortunae sacrum Caius Agrius Fortunatus votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","tria nomina, viri",43.0801,17.625,1
"194",6560,475017,"EDCS-12000835","HD042303",51,150,"Castori et / Pol(l)uci sac(rum) / Q(uintus) Lusius Secundus / v(otum) s(olvit) l(ibens) m(erito)","Castori et Polluci sacrum Quintus Lusius Secundus votum solvit libens merito","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","tria nomina, viri",43.0801,17.625,1
"195",887,468839,"EDCS-67300064","HD056013",71,150,"I(ovi?) [O(ptimo)? M(aximo)?]","Iovi Optimo Maximo","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Glamoc / Municipium Salvium","Municipium Salvium","Glamoč",NA,44.1301,16.8281,1
"196",889,468841,"EDCS-67300066","HD056020",71,150,"I(ovi) O(ptimo) M(aximo) / [------","Iovi Optimo Maximo","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Glamoc / Municipium Salvium","Salviae","Glamoč",NA,44.0726,16.7894,1
"197",909,468861,"EDCS-07400599","HD012602",71,150,"I(ovi) O(ptimo) M(aximo) / [------","Iovi Optimo Maximo","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Glavica / Municipium Salvium","Municipium Salvium","Glamoč",NA,44.1301,16.8281,1
