"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"24",352,468293,"EDCS-03000732","HD039932",9,70,"------] / [--]VL[---] / [b(ene)]f(iciarius) co[(n)s(ularis) ex] / [l]eg(ione) XI [Cl(audiae)] / [v(otum)] s(olvit) [l(ibens) m(erito)]","VL beneficiarius consularis ex legione XI Claudiae votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Cacak / Malvesiatium","Municipium Malvesiatium","Lučani","milites, viri",43.9667,19.5333,1
"25",6233,474681,"EDCS-46600038","HD056480",31,70,"[H]ercul[i] / Aug(usto) sac(rum) / Donatus / Cn(aei) Corneli / Certi v(otum) s(olvit) l(ibens)","Herculi Augusto sacrum Donatus Cnaei Corneli Certi votum solvit libens","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Trogir / Tragurium","Tragurium","Trogir","nomen singulare, tria nomina, viri",43.5594,16.524,1
"26",92,468016,"EDCS-32300071","HD052240",69,79,"[T(itus) F]lavius / [---]ditanus / [civ(itate?) d]on(atus) ab / [Imp(eratore)] Vespasiano / Ca[e]sare Aug(usto) / pra[e]positu[s] / et p[rin]cep[s] / Iapo[d]um / [v(otum) s(olvit) l(ibens) m(erito)]","Titus Flavius ditanus civitate donatus ab Imperatore Vespasiano Caesare Augusto praepositus et princeps Iapodum votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","Augusti/Augustae, milites, ordo decurionum, tria nomina, viri",44.7885,15.9292,1
"27",2725,470728,"EDCS-65000045","HD072483",79,81,"Divo Aug(usto) e[t] / divo Vespasian[o] / ex auctoritat[e] / [Imp(eratoris)] T(iti) Caesaris divi Ve[sp(asiani) f(ili) Vesp(asiani)] / [Augu]sti conventus L[iburnor(um)] / Scardonis c[onsecravit?]","Divo Augusto et divo Vespasiano ex auctoritate Imperatoris Titi Caesaris divi Vespasiani fili Vespasiani Augusti conventus Liburnorum Scardonis consecravit","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Skradin / Scardona","Scardona; Tragurium","Skradin; Trogir","Augusti/Augustae, viri",43.8227,15.9208,1
"28",7078,108850,"EDCS-73900199",NA,79,81,NA,"Divo Augusto et divo Vespasiano ex auctoritate Imperatoris Titi Caesaris divi Vespasiani filii Vespasiani Augusti conventus Liburnorum Scardonis consecravit",NA,"votive inscription",NA,"Dalmatia",NA,"Trogir / Tragurium",NA,NA,"Augusti/Augustae, viri",43.516687,16.2499724,1
"29",2203,470201,"EDCS-10101916","HD035263",-30,100,"Senton(a)e / Sex(tus) Aem(ilius) / v(otum) s(olvit) l(ibens) m(erito)","Sentonae Sextus Aemilius votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Plomin / Flanona","Flanona","Kršan","praenomen et nomen, viri",45.1382,14.1801,1
"30",6724,475183,"EDCS-24400841","HD053497",-30,100,"Isidi Serapi Liber(o) / Liberae voto / suscepto pro salute / Scapulae filii sui / P(ublius) Quinctius Paris / s(olvit) l(ibens) m(erito)","Isidi Serapi Libero Liberae voto suscepto pro salute Scapulae filii sui Publius Quinctius Paris solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Zadar / Iader","Iader","Zadar","mulieres, nomen singulare, tria nomina, viri",44.115501,15.223778,1
"31",147,468073,"EDCS-08500497","HD000683",1,100,"I(ovi) O(ptimo) M(aximo) / sacr(um) / P(ublius) Vo/lusi/us Se/[---](?) / [------?","Iovi Optimo Maximo sacrum Publius Volusius Se","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Blagaj","NULL","Novi Grad","tria nomina, viri",43.2575855,17.8904391,1
"32",163,468089,"EDCS-10100765","HD022752",1,100,"S(ilvano) S(ilvestri) Primus / Vepi l(ibens) p(osuit)","Silvano Silvestri Primus Vepi libens posuit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bosansko Grahovo / Municipium Salvium","NULL","Bosansko Grahovo","nomen singulare, viri",44.1808174,16.36568,1
"33",231,468160,"EDCS-30301389","HD061582",1,100,"L(ucius) Aeroni/us Silvano / v(otum) s(olvit) l(ibens) m(erito)","Lucius Aeronius Silvano votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bribir / Bribirska Glavica / Varvaria","Varvaria","Skradin","praenomen et nomen, viri",43.8892,15.9051,1
"34",488,468431,"EDCS-10000767","HD034201",1,100,"[------](?) // [---] vilicus / [--- ex] voto","vilicus ex voto","votive inscription","votive inscription","relief","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj, bei","officium/professio, viri",43.7423,16.6547,1
"35",791,468743,"EDCS-57200004","HD053934",1,100,"I Mac(edonica) le[g(io)] / [I]ovi o(ptimo) m(aximo) / v(otum) [s(olvit)] l(ibens) m(erito)","I Macedonica legio Iovi optimo maximo votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Galovac / Iader","Iader","Galovac","milites",43.9393,15.4483,1
"36",792,468744,"EDCS-30101159","HD045053",1,100,"Gen[io] / [------","Genio","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Gardun / Tilurium","Tilurium","Trilj",NA,43.6139,16.689,1
"37",1186,469150,"EDCS-30301399","HD061475",1,100,"Iovi Op(timo) M(aximo) / T(itus) Fufisius sig(nifer) / v(otum) s(olvit) l(ibens) m(erito)","Iovi Optimo Maximo Titus Fufisius signifer votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Ivosevci / Burnum","Burnum","Kistanje","milites, praenomen et nomen, viri",44.0317,15.9936,1
"38",1187,469151,"EDCS-30301400","HD061477",1,100,"------](?) / C(aius?) Voc[onius](?) / M(arci) f(ilius) Iovi","Caius Voconius Marci filius Iovi","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Ivosevci / Burnum","Burnum","Kistanje","praenomen et nomen, viri",44.0317,15.9936,1
