"EDCS-ID","publication","province","place","dating_from","dating_to","date_not_before","date_not_after","status","inscription","inscription_conservative_cleaning","inscription_interpretive_cleaning","material","comment","latitude","longitude","language","photo","partner_link","extra_text","extra_html","raw_dating","cleaned_place"
"EDCS-55100681","FRMEC p 106","Dalmatia","Gardun / Tilurium","","","","",NA,"[3]O / [","O","O","lapis",NA,"43.6099573","16.7139587","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$PF_FRMEC-106.jpg;$M_FRMEC-106.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=lu_24970","","",NA,"Tilurium"
"EDCS-55300313","Legio-VII 00112","Dalmatia","Gardun / Tilurium","","","","","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VII C(laudiae) P(iae) F(idelis)","Leg VII C P F","Legionis VII Claudiae Piae Fidelis","opus figlinae",NA,"43.6099573","16.7139587","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00112.jpg","","","",NA,"Tilurium"
"EDCS-55300314","Legio-VII 00114","Dalmatia","Gardun / Tilurium","","","","","milites;  sigilla impressa;  tituli fabricationis","[L]eg(ionis) VII [C(laudiae) P(iae) F(idelis)]","eg VII","Legionis VII Claudiae Piae Fidelis","opus figlinae",NA,"43.6099573","16.7139587","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00114.jpg","","","",NA,"Tilurium"
"EDCS-55300315","Legio-VII 00115","Dalmatia","Gardun / Tilurium","","","","","milites;  sigilla impressa;  tituli fabricationis","[Leg(ionis)] VII C(laudiae) [P(iae) F(idelis)]","VII C","Legionis VII Claudiae Piae Fidelis","opus figlinae",NA,"43.6099573","16.7139587","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00115.jpg","","","",NA,"Tilurium"
"EDCS-31400695","CIL 03, 10182a (p 2328,178)","Dalmatia","Gornji Muc / Andetrium","","","","","milites;  sigilla impressa;  tituli fabricationis","Coh(ors) VIII vol(untariorum)","Coh VIII vol","Cohors VIII voluntariorum","opus figlinae",NA,"43.6871481","16.4940794","",NA,"","","",NA,"Andetrium"
"EDCS-31400696","CIL 03, 10182b (p 2328,178)","Dalmatia","Gornji Muc / Andetrium","","","","","milites;  sigilla impressa;  tituli fabricationis","Coh(ors) VIII vol(untariorum)","Coh VIII vol","Cohors VIII voluntariorum","opus figlinae",NA,"43.6871481","16.4940794","",NA,"","","",NA,"Andetrium"
"EDCS-31400697","CIL 03, 10182c (p 2328,178)","Dalmatia","Gornji Muc / Andetrium","","","","","milites;  sigilla impressa;  tituli fabricationis","Coh(ors) VIII vol(untariorum)","Coh VIII vol","Cohors VIII voluntariorum","opus figlinae",NA,"43.6871481","16.4940794","",NA,"","","",NA,"Andetrium"
"EDCS-31300588","CIL 03, 10188,17","Dalmatia","Gornji Muc / Andetrium","","","","","nomen singulare;  tituli possessionis;  viri","Gre/gori / vivas","Gregori vivas","Gregori vivas","gemma",NA,"43.6871481","16.4940794","",NA,"","","",NA,"Andetrium"
"EDCS-32700976","CIL 03, 15110c","Dalmatia","Gornji Muc / Andetrium","","","","","milites;  sigilla impressa;  tituli fabricationis","Leg(io) IIII F(lavia) F(elix)","Leg IIII F F","Legio IIII Flavia Felix","opus figlinae",NA,"43.6871481","16.4940794","",NA,"","","",NA,"Andetrium"
"EDCS-10100907","ILJug-03, 01967","Dalmatia","Gornji Muc / Andetrium","","","","",NA,"]P IIIIC[","P IIIIC","P IIIIC",NA,NA,"43.6871481","16.4940794","",NA,"","","",NA,"Andetrium"
"EDCS-30301393","CIL 03, 09886","Dalmatia","Gracac","","","","","milites;  tituli sepulcrales;  viri","coh(ortis) III Al]pino[rum(?)] / [3] Victo[r","coh III Alpino Victor","cohortis III Alpinorum Victor",NA,NA,"44.2985234","15.8465272","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD061587","","",NA,"Gracac"
"EDCS-30600004","CIL 03, 06435 (p 2328,178) = CIL 03, 10181,1 = CIL 03, 13339,2","Dalmatia","Gradcina","","","","","milites;  sigilla impressa;  tituli fabricationis","Leg(io) VIII Aug(usta)","Leg VIII Aug","Legio VIII Augusta","opus figlinae",NA,"45.2286111","17.7097222","",NA,"","","",NA,"Gradcina"
