"EDCS-ID","publication","province","place","dating_from","dating_to","date_not_before","date_not_after","status","inscription","inscription_conservative_cleaning","inscription_interpretive_cleaning","material","comment","latitude","longitude","language","photo","partner_link","extra_text","extra_html","raw_dating","cleaned_place"
"EDCS-31200488","CIL 03, 15004 (p 2328,114)","Dalmatia","Burnum","42","69","42","69","milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri","M(arcus) Valerius / Liberalis / m(iles) leg(ionis) XI Cl(audiae) P(iae) F(idelis) / an(n)oru(m) XIIX st(ipendiorum) II / domu Cl(audia) Aequo / mater M(arci) viro et / sib(i) et filio","M Valerius Liberalis m leg XI Cl P F anoru XIIX st II domu Cl Aequo mater M viro et sib et filio","Marcus Valerius Liberalis miles legionis XI Claudiae Piae Fidelis annorum XIIX stipendiorum II domu Claudia Aequo mater Marci viro et sibi et filio",NA,NA,"44.0183606","16.0181762","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_15004_1.jpg;$M_CIL_03_15004_2.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD061355;lu_23213","","","42 to 69","Burnum"
"EDCS-31200489","CIL 03, 15004a (p 2328,114)","Dalmatia","Burnum","42","69","42","69","milites;  mulieres;  ordo equester;  tituli sepulcrales;  tria nomina;  viri","L(ucius) Val(erius) Maximus Va/lerio Proclo ann(orum) IXXX / leg(ionis) XI C(laudiae) P(iae) F(idelis) d(imisso) [h(onesta) m(issione) e]t Val/giae vet(?) en[3 V]aleriae / Proclinae nepti / Annucu[3] <e=F>(gregiae) m(emoriae) v(ir) / p(ie) f(ecit)","L Val Maximus Valerio Proclo ann IXXX leg XI C P F d t Valgiae vet en aleriae Proclinae nepti Annucu F m v p f","Lucius Valerius Maximus Valerio Proclo annorum IXXX legionis XI Claudiae Piae Fidelis dimisso honesta missione et Valgiae vet en Valeriae Proclinae nepti Annucu egregiae memoriae vir pie fecit",NA,NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD061356","","","42 to 69","Burnum"
"EDCS-31200490","CIL 03, 15005 (p 2328,114)","Dalmatia","Burnum","42","69","42","69","milites;  tituli sepulcrales;  tria nomina;  viri","] / L(ucius) [3] / Men(enia) V[ero(?)] / Feltr(ia) mil(es) / leg(ionis) XI C(laudiae) P(iae) F(idelis) / stip(endiorum) XVI / her(es) posu(it)","L Men V Feltr mil leg XI C P F stip XVI her posu","Lucius Menenia Vero Feltria miles legionis XI Claudiae Piae Fidelis stipendiorum XVI heres posuit",NA,NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD058298","","","42 to 69","Burnum"
"EDCS-30200436","CIL 03, 15005,1 = ILJug-03, 02815","Dalmatia","Burnum","42","69","42","69","milites;  tituli sepulcrales;  tria nomina;  viri","[L(uci) V]iri L(uci) f(ilii) Pob(lilia) / Novici Vero(na) / mil(itis) leg(ionis) XI C(laudiae) P(iae) F(idelis) / |(centuria) Aquili Fro(ntonis) / stip(endiorum) XXII / h(eres) f(aciendum) c(uravit)","iri L f Pob Novici Vero mil leg XI C P F Aquili Fro stip XXII h f c","Luci Viri Luci filii Poblilia Novici Verona militis legionis XI Claudiae Piae Fidelis centuria Aquili Frontonis stipendiorum XXII heres faciendum curavit","lapis",NA,"44.0183606","16.0181762","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD035397;lu_23082","","","42 to 69","Burnum"
"EDCS-31200501","CIL 03, 15010a","Dalmatia","Burnum","1","150","1","150","mulieres;  tituli sepulcrales;  viri","[3] Quin[t 3] / P(ublius) Quin[t 3] / coniu[gi","Quin P Quin coniugi","Quint Publius Quint coniugi",NA,NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0046680;HD061389","","","1 to 150","Burnum"
"EDCS-31200504","CIL 03, 15013","Dalmatia","Burnum","1","150","1","150","mulieres;  nomen singulare;  tituli sepulcrales;  viri","Sura Gemelli / sibi et suis / [","Sura Gemelli sibi et suis","Sura Gemelli sibi et suis",NA,NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD061393","","","1 to 150","Burnum"
"EDCS-31200507","CIL 03, 15014a","Dalmatia","Burnum","1","150","1","150","tituli sepulcrales","]NSII[3] / [3 ex testa]ment(o) f[ecit(?)","NSII ment fecit","NSII ex testamento fecit",NA,NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD061396","","","1 to 150","Burnum"
"EDCS-31200514","CIL 03, 15017a","Dalmatia","Burnum","1","150","1","150","tituli operum;  tituli sepulcrales;  tria nomina;  viri","L(ucius) Vibius / Max(imus) / t(itulum) pos(u)i(t) / Proclii / Cili a(nnorum) II","L Vibius Max t posi Proclii Cili a II","Lucius Vibius Maximus titulum posuit Proclii Cili annorum II",NA,NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD061401","","","1 to 150","Burnum"
"EDCS-31200515","CIL 03, 15018 = Liburnia 00113","Dalmatia","Burnum","1","150","1","150","tituli sacri;  tria nomina;  viri","[L(ucius) Do]mitiu[s] / [3 R]ufus / [L]atrae / v(otum) s(olvit) l(ibens) m(erito)","mitiu ufus atrae v s l m","Lucius Domitius Rufus Latrae votum solvit libens merito",NA,NA,"44.0183606","16.0181762","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD057623;lu_22878","","","1 to 150","Burnum"
"EDCS-31200516","CIL 03, 15019 = Liburnia 00114","Dalmatia","Burnum","1","150","1","150","tituli sacri;  tria nomina;  viri","<L=I>(ucius) Dom[itius] / Ru[fus","I Dom Rufus","Lucius Domitius Rufus",NA,NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD057618","","","1 to 150","Burnum"
