"EDCS-ID","publication","province","place","cleaned_place","dating_from","dating_to","status","inscription","inscription_interpretive_cleaning","latitude","longitude","photo"
"EDCS-31200490","CIL 03, 15005 (p 2328,114)","Dalmatia","Burnum","Burnum","42","69","milites;  tituli sepulcrales;  tria nomina;  viri","] / L(ucius) [3] / Men(enia) V[ero(?)] / Feltr(ia) mil(es) / leg(ionis) XI C(laudiae) P(iae) F(idelis) / stip(endiorum) XVI / her(es) posu(it)","Lucius Menenia Vero Feltria miles legionis XI Claudiae Piae Fidelis stipendiorum XVI heres posuit","44.0183606","16.0181762",NA
"EDCS-30200436","CIL 03, 15005,1 = ILJug-03, 02815","Dalmatia","Burnum","Burnum","42","69","milites;  tituli sepulcrales;  tria nomina;  viri","[L(uci) V]iri L(uci) f(ilii) Pob(lilia) / Novici Vero(na) / mil(itis) leg(ionis) XI C(laudiae) P(iae) F(idelis) / |(centuria) Aquili Fro(ntonis) / stip(endiorum) XXII / h(eres) f(aciendum) c(uravit)","Luci Viri Luci filii Poblilia Novici Verona militis legionis XI Claudiae Piae Fidelis centuria Aquili Frontonis stipendiorum XXII heres faciendum curavit","44.0183606","16.0181762","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp"
"EDCS-31200501","CIL 03, 15010a","Dalmatia","Burnum","Burnum","1","150","mulieres;  tituli sepulcrales;  viri","[3] Quin[t 3] / P(ublius) Quin[t 3] / coniu[gi","Quint Publius Quint coniugi","44.0183606","16.0181762",NA
"EDCS-31200504","CIL 03, 15013","Dalmatia","Burnum","Burnum","1","150","mulieres;  nomen singulare;  tituli sepulcrales;  viri","Sura Gemelli / sibi et suis / [","Sura Gemelli sibi et suis","44.0183606","16.0181762",NA
"EDCS-31200507","CIL 03, 15014a","Dalmatia","Burnum","Burnum","1","150","tituli sepulcrales","]NSII[3] / [3 ex testa]ment(o) f[ecit(?)","NSII ex testamento fecit","44.0183606","16.0181762",NA
"EDCS-31200514","CIL 03, 15017a","Dalmatia","Burnum","Burnum","1","150","tituli operum;  tituli sepulcrales;  tria nomina;  viri","L(ucius) Vibius / Max(imus) / t(itulum) pos(u)i(t) / Proclii / Cili a(nnorum) II","Lucius Vibius Maximus titulum posuit Proclii Cili annorum II","44.0183606","16.0181762",NA
"EDCS-31200515","CIL 03, 15018 = Liburnia 00113","Dalmatia","Burnum","Burnum","1","150","tituli sacri;  tria nomina;  viri","[L(ucius) Do]mitiu[s] / [3 R]ufus / [L]atrae / v(otum) s(olvit) l(ibens) m(erito)","Lucius Domitius Rufus Latrae votum solvit libens merito","44.0183606","16.0181762","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp"
"EDCS-31200516","CIL 03, 15019 = Liburnia 00114","Dalmatia","Burnum","Burnum","1","150","tituli sacri;  tria nomina;  viri","<L=I>(ucius) Dom[itius] / Ru[fus","Lucius Domitius Rufus","44.0183606","16.0181762",NA
"EDCS-31200521","CIL 03, 15024","Dalmatia","Burnum","Burnum","1","70","milites;  tituli operum;  tria nomina;  viri","T(itus) Iulius / T(iti) f(ilius) Cla(udia) / C[el]er / [3 l]eg(ionis) II Aug(usta) / [ar]am ex / [HS] XX(milibus) test(amento) / f[ier]i iussit","Titus Iulius Titi filius Claudia Celer legionis II Augusta aram ex HS XXmilibus testamento fieri iussit","44.0183606","16.0181762",NA
"EDCS-31200524","CIL 03, 15027 = ILJug-03, 02834","Dalmatia","Burnum","Burnum","51","100","ordo decurionum;  sacerdotes pagani;  tituli operum;  viri","] dec(urio) augur porticum / t(estamento) f(ieri) i(usiit) ex HS LXXX(milibus)","decurio augur porticum testamento fieri iusiit ex HS LXXXmilibus","44.0183606","16.0181762",NA
"EDCS-31200525","CIL 03, 15028","Dalmatia","Burnum","Burnum","1","150","milites;  mulieres;  ordo decurionum;  tituli sepulcrales;  tria nomina;  viri","de]curi[oni 3] / [3 Arr]untia(?) [3] / [Flore]ntin[a(?)","decurioni Arruntia Florentina","44.0183606","16.0181762","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp"
