"EDCS-ID","publication","province","place","cleaned_place","dating_from","dating_to","status","inscription","inscription_interpretive_cleaning","latitude","longitude","comment","photo"
"EDCS-31200494","CIL 03, 15007b","Dalmatia","Burnum","Burnum","","","tituli sepulcrales;  viri","] fratr[i et] / sibi posu[it","fratri et sibi posuit","44.0183606","16.0181762",NA,NA
"EDCS-31200495","CIL 03, 15007c","Dalmatia","Burnum","Burnum","","","ordo equester;  viri","]us eque[s(?)","us eques","44.0183606","16.0181762",NA,NA
"EDCS-31200496","CIL 03, 15007d","Dalmatia","Burnum","Burnum","","","tituli sepulcrales;  tria nomina;  viri","L(ucius) Voconius / Constans L(uci) f(ilius) / dom(o) Ani(ensi) C[re(mona)] / [3]III[","Lucius Voconius Constans Luci filius domo Aniensi Cremona III","44.0183606","16.0181762",NA,NA
"EDCS-31200541","CIL 03, 15036d","Dalmatia","Burnum","Burnum","","",NA,"]A[3] / [3]SP[","A SP","44.0183606","16.0181762",NA,NA
"EDCS-31200542","CIL 03, 15036e","Dalmatia","Burnum","Burnum","","",NA,"]LO[","LO","44.0183606","16.0181762",NA,NA
"EDCS-31200546","CIL 03, 15040","Dalmatia","Burnum","Burnum","","","milites;  tituli sepulcrales;  viri","a]nn(orum) [3] / [stip(endiorum?)] XX[","annorum stipendiorum XX","44.0183606","16.0181762",NA,NA
"EDCS-31200547","CIL 03, 15041a","Dalmatia","Burnum","Burnum","","",NA,"]A[","A","44.0183606","16.0181762",NA,NA
"EDCS-31200548","CIL 03, 15041b","Dalmatia","Burnum","Burnum","","",NA,"[3]MC[3] [3]IS[","MC IS","44.0183606","16.0181762",NA,NA
"EDCS-31200549","CIL 03, 15041c","Dalmatia","Burnum","Burnum","","",NA,"]I E[3] / [3]O[","I E O","44.0183606","16.0181762",NA,NA
"EDCS-31200550","CIL 03, 15041d","Dalmatia","Burnum","Burnum","","",NA,"]I[3] / [3]G[3] / [3]DI[","I G DI","44.0183606","16.0181762",NA,NA
"EDCS-31200552","CIL 03, 15041f","Dalmatia","Burnum","Burnum","","",NA,"]DA[3]LV[3] / [3]NO[","DA LV NO","44.0183606","16.0181762",NA,NA
"EDCS-31200553","CIL 03, 15041g","Dalmatia","Burnum","Burnum","","",NA,"]CL[3] / [3]I[","CL I","44.0183606","16.0181762",NA,NA
"EDCS-31200554","CIL 03, 15041h","Dalmatia","Burnum","Burnum","","",NA,"]I[3] / [3]MAT[","I MAT","44.0183606","16.0181762",NA,NA
"EDCS-31200555","CIL 03, 15041i","Dalmatia","Burnum","Burnum","","",NA,"]IA[","IA","44.0183606","16.0181762",NA,NA
"EDCS-71400032","REMCacak 00007","Dalmatia","Cacak / Malvesiatium","Municipium Malvesatium","","","milites;  tituli sacri;  tria nomina;  viri","[I(ovi)] O(ptimo) M(aximo) / [Au]rel(ius?) O[3] / [3] b(ene)f(iciarius) c[o(n)s(ularis)] / [leg(ionis)] XI Cl(audiae) [P(iae) F(idelis?)] / [v(otum)] s(olvit)","Iovi Optimo Maximo Aurelius O beneficiarius consularis legionis XI Claudiae Piae Fidelis votum solvit","43.8913319","20.3501125",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$REMCacak_00007.jpg"
"EDCS-71400034","REMCacak 00009","Dalmatia","Cacak / Malvesiatium","Municipium Malvesatium","","","milites;  tituli sacri;  viri","[I(ovi)] O(ptimo) M(aximo) [3] / [3 Di]ana[e(?) 3] / [3]L() Aug(ustis?) [3] / [3 Gen(io?) l]oci(?) [3] / [3 c]oh(ors) [3] / [3]nius [3] / [3]us [3] / [3]I[","Iovi Optimo Maximo Dianae L Augustis Genio loci cohors nius us I","43.8913319","20.3501125",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$REMCacak_00009.jpg"
"EDCS-71400035","REMCacak 00011","Dalmatia","Cacak / Malvesiatium","Municipium Malvesatium","","","milites;  tituli sacri;  viri","Marti / Militari / Cn(aeus) Pomp(eius?) / [","Marti Militari Cnaeus Pompeius","43.8913319","20.3501125",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$REMCacak_00011.jpg"
"EDCS-71400037","REMCacak 00018","Dalmatia","Cacak / Malvesiatium","Municipium Malvesatium","","","milites;  mulieres;  tituli sepulcrales;  viri","]RCEL/[3] con(iugi?) / [3 vix(it) a]nn(os) XIIII / [3]CTO / [3] coh(ortis) / [3 A]urelia / [3]REN/[","RCEL coniugi vixit annos XIIII CTO cohortis Aurelia REN","43.8913319","20.3501125",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$REMCacak_00018.jpg"
"EDCS-71400031","REMCacak 00044","Dalmatia","Cacak / Malvesiatium","Municipium Malvesatium","","","milites;  sigilla impressa;  tituli fabricationis","Coh(ors) II |(miliaria)","Cohors II miliaria","43.8913319","20.3501125",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$REMCacak_00044.jpg"
"EDCS-73700314","ZPE-207-279,1 = AE 2018, 01262","Dalmatia","Cacak / Malvesiatium","Municipium Malvesatium","","","milites;  tituli sacri;  tria nomina;  viri","Iul(ius)] Lon/[ginus] b(ene)f(iciarius) co(n)s(ularis) / [ex le(gione) V] Maced(onica) / [v(otum) s(olvit)] l(ibens) m(erito)","Iulius Longinus beneficiarius consularis ex legione V Macedonica votum solvit libens merito","43.8913319","20.3501125",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ZPE-207-279.jpg"
"EDCS-55300311","Legio-VII 00111","Dalmatia","Citluk / Aequum","Aequum","","","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VII C(laudiae) P(iae) F(idelis)","Legionis VII Claudiae Piae Fidelis","43.7425382","16.6534966",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00111.jpg"
"EDCS-55300312","Legio-VII 00113","Dalmatia","Citluk / Aequum","Aequum","","","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VII C(laudiae) P(iae) F(idelis)","Legionis VII Claudiae Piae Fidelis","43.7425382","16.6534966",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00113.jpg"
"EDCS-79100133","AE 1940, 00178","Dalmatia","Gardun / Tilurium","Tilurium","","","milites;  viri","Signifer // legio XI Claudia","Signifer legio XI Claudia","43.6099573","16.7139587",NA,NA
"EDCS-59500032","AE 2010, 01216","Dalmatia","Gardun / Tilurium","Tilurium","","","tituli sacri;  viri","I(ovi) O(ptimo) M(aximo) / [C]laudius / [3 v(ixit) ann]is(?) VIII","Iovi Optimo Maximo Claudius vixit annis VIII","43.6099573","16.7139587",NA,NA
"EDCS-68300240","Bulic 01567","Dalmatia","Gardun / Tilurium","Tilurium","","","tituli sepulcrales;  viri","L(ucius?) V[3]is / EIA[3]VI / EM[","Lucius V is EIA VI EM","43.6099573","16.7139587",NA,NA
"EDCS-68300242","Bulic 01568","Dalmatia","Gardun / Tilurium","Tilurium","","","tituli sepulcrales","p]ridie prid[","pridie prid","43.6099573","16.7139587",NA,NA
"EDCS-68300241","Bulic 01570","Dalmatia","Gardun / Tilurium","Tilurium","","","tituli sepulcrales","]atui mat[","atui mat","43.6099573","16.7139587",NA,NA
"EDCS-31300510","CIL 03, 10188,12","Dalmatia","Gardun / Tilurium","Tilurium","","","mulieres;  nomen singulare;  tituli possessionis","Dama","Dama","43.6099573","16.7139587",NA,NA
"EDCS-31400473","CIL 03, 13344,8","Dalmatia","Gardun / Tilurium","Tilurium","","","tituli possessionis","XVII","XVII","43.6099573","16.7139587",NA,NA
"EDCS-31400474","CIL 03, 13348","Dalmatia","Gardun / Tilurium","Tilurium","","","tituli possessionis;  tria nomina;  viri","Octavi Optati Cava","Octavi Optati Cava","43.6099573","16.7139587",NA,NA
"EDCS-31400475","CIL 03, 13350 (p 2328,181)","Dalmatia","Gardun / Tilurium","Tilurium","","","milites;  tituli possessionis","Leg(io) XI","Legio XI","43.6099573","16.7139587",NA,NA
"EDCS-31200709","CIL 03, 14035,2","Dalmatia","Gardun / Tilurium","Tilurium","","","sigilla impressa;  tituli fabricationis;  tria nomina;  viri","Iuli / Marcel(li)","Iuli Marcelli","43.6099573","16.7139587",NA,NA
"EDCS-32300092","CIL 03, 14336,1","Dalmatia","Gardun / Tilurium","Tilurium","","","milites;  sigilla impressa;  tituli fabricationis","C(o)hor(s) VIII vo(luntariorum)","Cohors VIII voluntariorum","43.6099573","16.7139587",NA,NA
"EDCS-32701045","CIL 03, 15131,2","Dalmatia","Gardun / Tilurium","Tilurium","","","tituli possessionis;  tria nomina;  viri","D(ecimi) B() S()","Decimi B S","43.6099573","16.7139587",NA,NA
"EDCS-35200314","CLE 02123","Dalmatia","Gardun / Tilurium","Tilurium","","","carmina;  tituli sepulcrales;  tria nomina;  viri","]nius C(ai) f(ilius) [3] / [3]s ann(os) V h(ic) s(itus) e(st) [3] / [3]ECI[3]SINE[3]PVS / [3] annus cui scidi / [3] miseris ipse patrem / [ut decuit digno tumulasset honore n]i mihi natura / [heu esset iniqua nimis]","nius Cai filius s annos V hic situs est ECI SINE PVS annus cui scidi miseris ipse patrem ut decuit digno tumulasset honore ni mihi natura heu esset iniqua nimis","43.6099573","16.7139587",NA,NA
"EDCS-55100681","FRMEC p 106","Dalmatia","Gardun / Tilurium","Tilurium","","",NA,"[3]O / [","O","43.6099573","16.7139587",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$PF_FRMEC-106.jpg;$M_FRMEC-106.jpg;pp"
"EDCS-55300313","Legio-VII 00112","Dalmatia","Gardun / Tilurium","Tilurium","","","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VII C(laudiae) P(iae) F(idelis)","Legionis VII Claudiae Piae Fidelis","43.6099573","16.7139587",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00112.jpg"
"EDCS-55300314","Legio-VII 00114","Dalmatia","Gardun / Tilurium","Tilurium","","","milites;  sigilla impressa;  tituli fabricationis","[L]eg(ionis) VII [C(laudiae) P(iae) F(idelis)]","Legionis VII Claudiae Piae Fidelis","43.6099573","16.7139587",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00114.jpg"
"EDCS-55300315","Legio-VII 00115","Dalmatia","Gardun / Tilurium","Tilurium","","","milites;  sigilla impressa;  tituli fabricationis","[Leg(ionis)] VII C(laudiae) [P(iae) F(idelis)]","Legionis VII Claudiae Piae Fidelis","43.6099573","16.7139587",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00115.jpg"
"EDCS-31400695","CIL 03, 10182a (p 2328,178)","Dalmatia","Gornji Muc / Andetrium","Andetrium","","","milites;  sigilla impressa;  tituli fabricationis","Coh(ors) VIII vol(untariorum)","Cohors VIII voluntariorum","43.6871481","16.4940794",NA,NA
"EDCS-31400696","CIL 03, 10182b (p 2328,178)","Dalmatia","Gornji Muc / Andetrium","Andetrium","","","milites;  sigilla impressa;  tituli fabricationis","Coh(ors) VIII vol(untariorum)","Cohors VIII voluntariorum","43.6871481","16.4940794",NA,NA
"EDCS-31400697","CIL 03, 10182c (p 2328,178)","Dalmatia","Gornji Muc / Andetrium","Andetrium","","","milites;  sigilla impressa;  tituli fabricationis","Coh(ors) VIII vol(untariorum)","Cohors VIII voluntariorum","43.6871481","16.4940794",NA,NA
"EDCS-31300588","CIL 03, 10188,17","Dalmatia","Gornji Muc / Andetrium","Andetrium","","","nomen singulare;  tituli possessionis;  viri","Gre/gori / vivas","Gregori vivas","43.6871481","16.4940794",NA,NA
"EDCS-32700976","CIL 03, 15110c","Dalmatia","Gornji Muc / Andetrium","Andetrium","","","milites;  sigilla impressa;  tituli fabricationis","Leg(io) IIII F(lavia) F(elix)","Legio IIII Flavia Felix","43.6871481","16.4940794",NA,NA
"EDCS-10100907","ILJug-03, 01967","Dalmatia","Gornji Muc / Andetrium","Andetrium","","",NA,"]P IIIIC[","P IIIIC","43.6871481","16.4940794",NA,NA
"EDCS-30301393","CIL 03, 09886","Dalmatia","Gracac","Gracac","","","milites;  tituli sepulcrales;  viri","coh(ortis) III Al]pino[rum(?)] / [3] Victo[r","cohortis III Alpinorum Victor","44.2985234","15.8465272",NA,NA
"EDCS-30600004","CIL 03, 06435 (p 2328,178) = CIL 03, 10181,1 = CIL 03, 13339,2","Dalmatia","Gradcina","Gradcina","","","milites;  sigilla impressa;  tituli fabricationis","Leg(io) VIII Aug(usta)","Legio VIII Augusta","45.2286111","17.7097222",NA,NA
"EDCS-10101984","CIL 17-04, 00355 = ILJug-03, 02978","Dalmatia","Hardomilje / Bigeste","Bigeste","","","miliaria","?","","43.1575578","17.5493918",NA,NA
"EDCS-78300707","Lupa 30371","Dalmatia","Hardomilje / Bigeste","Bigeste","","","tituli sepulcrales","]onia[1] / [3]CLAMA / [3 ex testa]ment(o) / [","onia CLAMA ex testamento","43.1575578","17.5493918",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp"
"EDCS-56900031","OpuscArchZagreb-1997-89","Dalmatia","Hardomilje / Bigeste","Bigeste","","","tituli sepulcrales","]R[3] / [3]mus[","R mus","43.1575578","17.5493918",NA,NA
"EDCS-57300176","Kurilic 00123","Dalmatia","Hrvace","Hrvace","","","milites;  tituli sepulcrales;  viri","] veteran(us) L(ucius) Vettius [","veteranus Lucius Vettius","43.7559711","16.6189503",NA,NA
"EDCS-10100862","ILJug-03, 01918","Dalmatia","Humac / Bigeste","Bigeste","","","ordo decurionum;  tituli sepulcrales;  viri","]IVvir [","IV vir","43.1878539","17.5296549",NA,NA
"EDCS-75700070","Lupa 23814","Dalmatia","Humac / Bigeste","Bigeste","","","tituli sepulcrales","] / A[3] / H() P() [3] / st[3] / vi[xit a]/n(nos) X[","A H P st vixit annos X","43.1878539","17.5296549",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp"
"EDCS-75300233","AE 2016, 01207* = EpRom 2016_31_006","Dalmatia","Ivosevci / Burnum","Burnum","","","milites;  tituli sepulcrales;  tria nomina;  viri","] leg(ionis) XI / [a]nn(orum) XLV stip(endiorum) XXI / C(aius) Aemilius C(ai) f(ilius) / [Ma]rcellus ann(orum) XIIX / [pa]ter et filius / [h(ic) s(itus)] e(st!)","legionis XI annorum XLV stipendiorum XXI Caius Aemilius Cai filius Marcellus annorum XIIX pater et filius hic situs est","44.0160408","16.0072244","cf. CIL 03, 02832",NA
"EDCS-28300166","CIL 03, 02837","Dalmatia","Ivosevci / Burnum","Burnum","","","tituli sepulcrales;  tria nomina;  viri","P(ublius) Gavius / P(ubli) f(ilius) Scaptia / Bassus [Fl]o/[rentia","Publius Gavius Publi filius Scaptia Bassus Florentia","44.0160408","16.0072244",NA,NA
"EDCS-31400471","CIL 03, 13344,1","Dalmatia","Ivosevci / Burnum","Burnum","","","tituli possessionis","Acium Celae","Acium Celae","44.0160408","16.0072244",NA,NA
"EDCS-31400472","CIL 03, 13344,3","Dalmatia","Ivosevci / Burnum","Burnum","","","praenomen et nomen;  tituli possessionis;  viri","A(ulus) Cl(audius)","Aulus Claudius","44.0160408","16.0072244",NA,NA
"EDCS-32700974","CIL 03, 15110a","Dalmatia","Ivosevci / Burnum","Burnum","","","milites;  sigilla impressa;  tituli fabricationis","Leg(io) IIII F(lavia) F(elix)","Legio IIII Flavia Felix","44.0160408","16.0072244",NA,NA
"EDCS-32700975","CIL 03, 15110b","Dalmatia","Ivosevci / Burnum","Burnum","","","milites;  sigilla impressa;  tituli fabricationis","Leg(io) IIII F(lavia) F(elix)","Legio IIII Flavia Felix","44.0160408","16.0072244",NA,NA
"EDCS-32700984","CIL 03, 15114","Dalmatia","Ivosevci / Burnum","Burnum","","","sigilla impressa;  tituli fabricationis","]LAETEFP","LAETEFP","44.0160408","16.0072244",NA,NA
"EDCS-55200058","FRMEC p 100","Dalmatia","Ivosevci / Burnum","Burnum","","","milites;  sigilla impressa;  tituli fabricationis","[Leg(io)] VIII Aug(usta)","Legio VIII Augusta","44.0160408","16.0072244",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$FRMEC-100.jpg"
"EDCS-10101841","ILJug-03, 02816","Dalmatia","Ivosevci / Burnum","Burnum","","","milites;  praenomen et nomen;  tituli sepulcrales;  tria nomina;  viri","] Ani(ensi) Prisc(us) [Cre]mona mil(es) leg(ionis) XI C(laudiae) P(iae) F(idelis) ann(orum) XXXIIX stip(endiorum) XX et P(ublius) Mamiliu[s] eques","Aniensi Priscus Cremona miles legionis XI Claudiae Piae Fidelis annorum XXXIIX stipendiorum XX et Publius Mamilius eques","44.0160408","16.0072244",NA,NA
"EDCS-63400006","Liburnia 00134","Dalmatia","Kistanje / Burnum","Burnum","","","tituli sacri;  tria nomina;  viri","[1] Au[g(ust)] / INDAC[1]S / L(ucius) Quintiu[s] / Saecular[is] / v(otum) s(olvit) l(ibens) [m(erito)]","August INDAC S Lucius Quintius Saecularis votum solvit libens merito","43.9814264","15.9653321",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp"
"EDCS-63400008","Lupa 23139","Dalmatia","Kistanje / Burnum","Burnum","","","viri","Aur(elius?) PII / MEPARV / DIAN[","Aurelius PII MEPARV DIAN","43.9814264","15.9653321",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp"
"EDCS-63400005","Lupa 23269","Dalmatia","Kistanje / Burnum","Burnum","","","milites;  tituli sepulcrales;  viri","le]g(ionis) XI C(laudiae) P(iae) F(idelis) / [ann(orum)] XXXX st[ip(endiorum)] / [3]X I Q() Priscu[s] / frat[er(?)]","legionis XI Claudiae Piae Fidelis annorum XXXX stipendiorum X I Q Priscus frater","43.9814264","15.9653321",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp"
"EDCS-10100992","ILJug-03, 02028,3228 = Legio-VII 00081","Dalmatia","Klis / Clissa","Cliss","","","milites;  tituli sepulcrales;  viri","]E MVL[3] / [3] Capit[o(?) 3] / [3] leg(ionis?) VII [","E MVL Capito legionis VII","43.5587998","16.5237544",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00081.jpg"
"EDCS-30301419","CIL 03, 09923b (p 2328)","Dalmatia","Knin / Burnum","Burnum","","",NA,"P() F[","P F","44.040850","16.199433",NA,NA
"EDCS-31300514","CIL 03, 10184,34b","Dalmatia","Knin / Burnum","Burnum","","","sigilla impressa;  tituli fabricationis;  tria nomina;  viri","Q(uinti) N() C()","Quinti N C","44.040850","16.199433",NA,NA
"EDCS-32701029","CIL 03, 15129,01","Dalmatia","Knin / Burnum","Burnum","","","tituli possessionis","I() V() B() / E() V() [1]","I V B E V","44.040850","16.199433",NA,NA
"EDCS-32701030","CIL 03, 15129,02","Dalmatia","Knin / Burnum","Burnum","","","nomen singulare;  tituli possessionis;  viri","Lici","Lici","44.040850","16.199433",NA,NA
"EDCS-32701031","CIL 03, 15129,03","Dalmatia","Knin / Burnum","Burnum","","","tituli possessionis","Sav()","Sav","44.040850","16.199433",NA,NA
"EDCS-32701032","CIL 03, 15129,04","Dalmatia","Knin / Burnum","Burnum","","","tituli possessionis","Actum Celae","Actum Celae","44.040850","16.199433",NA,NA
"EDCS-55300307","Legio-VII 00107","Dalmatia","Krinj","Krinj","","","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VII C(laudiae) P(iae) F(idelis)","Legionis VII Claudiae Piae Fidelis","43.7451993","16.644463",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00107.jpg"
"EDCS-54900237","CIL 17-04, 00356","Dalmatia","Ljubuski / Mlade / Bigeste","Bigeste","","","miliaria","?","","43.1904758","17.540558",NA,NA
"EDCS-56900024","OpuscArchZagreb-1997-88","Dalmatia","Ljubuski / Mlade / Bigeste","Bigeste","","","milites;  tituli sepulcrales;  viri","]s Gem/[3] coh(ortis) / [c]orni[cularius(?)] / [","s Gem cohortis cornicularius","43.1904758","17.540558",NA,NA
"EDCS-66600372","Lupa 24259","Dalmatia","Nin / Aenona","Aenona","","","milites;  ordo senatorius;  tituli honorarii;  viri","]NO PR[3] / [3]NNO [3] / [3 p]rovin[ciae 3] / [3 tri]b(uno) mil(itum) le[g(ionis) 3] / [3] Syria[e 3] / [3]is in[","NO PR NNO provinciae tribuno militum legionis Syriae is in","44.2430736","15.1840255",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp"
"EDCS-10100920","ILJug-03, 01980c","Dalmatia","Omis / Almissa / Oneum / Onaeum","Oneum","","","milites;  tituli sepulcrales","] eadem legio [","eadem legio","43.4447124","16.6913309",NA,NA
"EDCS-32700979","CIL 03, 15110f","Dalmatia","Podgrade / Asseria","Asseria","","","milites;  sigilla impressa;  tituli fabricationis","Leg(io) IIII F(lavia) F(elix)","Legio IIII Flavia Felix","44.0203427","15.669073",NA,NA
"EDCS-65500117","CIL 03, *00112 = CILGM p 109","Dalmatia","Risan / Risano / Risinium","Risinium","","","milites;  tituli sepulcrales;  viri","d m / m tuscennio m f rogato / vet ben praef alae dalm col / asclepit epidaur militavit an / XXVIII vix an LIII / m IX d XVI m iusteius / p f ceraun domo rizin / contibernali bene meren f c / et s p q s","d m m tuscennio m f rogato vet ben praef alae dalm col asclepit epidaur militavit an XXVIII vix an LIII m IX d XVI m iusteius p f ceraun domo rizin contibernali bene meren f c et s p q s","42.5149792","18.6955649",NA,NA
"EDCS-37900108","ILJug-02, 00747","Dalmatia","Sinj / Osinium","Osinium","","","milites;  tituli sepulcrales","] miitis cohortis III Alp(inae) [","miitis cohortis III Alpinae","43.7015963","16.6365238",NA,NA
"EDCS-55300308","Legio-VII 00108","Dalmatia","Sinj / Osinium","Osinium","","","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VII C(laudiae) P(iae) F(idelis)","Legionis VII Claudiae Piae Fidelis","43.7015963","16.6365238",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00108.jpg"
"EDCS-55300309","Legio-VII 00109","Dalmatia","Sinj / Osinium","Osinium","","","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VII C(laudiae) [P(iae) F(idelis)]","Legionis VII Claudiae Piae Fidelis","43.7015963","16.6365238",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00109.jpg"
"EDCS-55300310","Legio-VII 00110","Dalmatia","Sinj / Osinium","Osinium","","","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VII C(laudiae) P(iae) F(idelis)","Legionis VII Claudiae Piae Fidelis","43.7015963","16.6365238",NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00110.jpg"
"EDCS-73900198","AE 2015, 01072","Dalmatia","Solin / Salona","Salona","","","liberti/libertae;  milites;  tituli sepulcrales;  viri","]us miles / [3]sit stip(endiorum) / [3] v(ivus) f(ecit) qui / [vixit ann(os) 3]XXXV l(i)b/[ert]us heres / [3]nalis","us miles sit stipendiorum vivus fecit qui vixit annos XXXV libertus heres nalis","43.5441591","16.4919213",NA,NA
"EDCS-32700983","CIL 03, 15113,1","Dalmatia","Solin / Salona","Salona","","","sigilla impressa;  tituli fabricationis","Galax[","Galax","43.5441591","16.4919213",NA,NA
