"","place"
"466","Zljebac"
"467","Zmijavci"
"468","Zrnovnica / Salona"
"469","Zupa"
"470","Zvornik / Ad Drinum / Domavium"
"471","Borojevici"
"472","Donje Stitarevo"
"473","Gorica"
"474","Grab"
"475","Kapitul - Knin"
"476","Karan / Malvesiatum"
"477","Lucani"
"478","Nisko"
"479","Posusje"
"480","Tivat / Teodo"
"481","Veljaci / Bigeste"
"482","Virovo / Malvesiatum"
"483","Vrtliste"
