"EDCS-ID","publication","province","place","cleaned_place","dating_from","dating_to","status","inscription","inscription_interpretive_cleaning","latitude","longitude"
"EDCS-27900092","CIL 03, 02344","Dalmatia","Solin / Salona","Salona","1","150","tituli sepulcrales;  tria nomina;  viri","Sex(tus) Cellius / Primus L(ucio) / Vario Attico / amico bene merito / posuit","Sextus Cellius Primus Lucio Vario Attico amico bene merito posuit","43.5441591","16.4919213"
"EDCS-27900103","CIL 03, 02356","Dalmatia","Solin / Salona","Salona","1","150","liberti/libertae;  mulieres;  tituli sepulcrales;  tria nomina","Horiae / M(arci) l(ibertae) / Primae","Horiae Marci libertae Primae","43.5441591","16.4919213"
"EDCS-28000144","CIL 03, 02371 (p 2328,125)","Dalmatia","Solin / Salona","Salona","1","150","liberti/libertae;  mulieres;  tituli sepulcrales;  tria nomina;  viri","L(ucius) Iulius L(uci) lib(ertus) / Narcissus / v(ivus) f(ecit) sibi et Iuliae / Helpidi coniug(i) / et l(ibertae) et L(ucio) Iulio Ceri/ali f(ilio) et l(iberto) et L(ucio) Iulio libert(is) / libertabusq(ue) suis / posterisq(ue) eorum / ex [3] p(osuit?) d(edicavit?)","Lucius Iulius Luci libertus Narcissus vivus fecit sibi et Iuliae Helpidi coniugi et libertae et Lucio Iulio Ceriali filio et liberto et Lucio Iulio libertis libertabus que suis posteris que eorum ex posuit dedicavit","43.5441591","16.4919213"
"EDCS-28000156","CIL 03, 02383 = CIL 03, 08627","Dalmatia","Solin / Salona","Salona","1","150","liberti/libertae;  mulieres;  tituli sepulcrales;  tria nomina;  viri","[3]te sibi et Iuli/[3] patronae / [3 cog]nato f(ilio) P(ublio) Turpilio / [3]o et suis","te sibi et Iuli patronae cognato filio Publio Turpilio o et suis","43.5441591","16.4919213"
"EDCS-28000167","CIL 03, 02394 (p 2328,125)","Dalmatia","Solin / Salona","Salona","1","150","liberti/libertae;  mulieres;  nomen singulare;  tria nomina","Iuliae / Lucidae lib(ertae) / Veranilla / patron(a) fec(it)","Iuliae Lucidae libertae Veranilla patrona fecit","43.5441591","16.4919213"
"EDCS-28000176","CIL 03, 02403 (p 1031) = Tozzi-2017, 00071","Dalmatia","Solin / Salona","Salona","1","100","mulieres;  tituli sepulcrales;  tria nomina;  viri","Iulia C(ai) f(ilia) Tertulla / v(iva) f(ecit) sibi et / C(aio) Iulio C(ai) f(ilio) Sabino fratri / et Iuliae Ceunae matri / lib(ertis) libertab(us)q(ue) suis omnib(us) / in fr(onte) p(edes) XII in agr(o) p(edes) XX h(oc) m(onumentum) h(eredem) n(on) s(equetur)","Iulia Cai filia Tertulla viva fecit sibi et Caio Iulio Cai filio Sabino fratri et Iuliae Ceunae matri libertis libertabus que suis omnibus in fronte pedes XII in agro pedes XX hoc monumentum heredem non sequetur","43.5441591","16.4919213"
"EDCS-28000187","CIL 03, 02414","Dalmatia","Solin / Salona","Salona","1","150","mulieres;  tituli sepulcrales;  tria nomina;  viri","L(ucius) Lartius Terpinus / v(ivus) f(ecit) sibi et Corelliae / Nice coniugi / suae sanctissimae / et Corelliae Melete / delicatae suae et / libertis libertabus(que) suis / in fr(onte) p(edes) XX in a(gro) p(edes) XXX / h(oc) m(onumentum) h(eredem) n(on) s(equetur)","Lucius Lartius Terpinus vivus fecit sibi et Corelliae Nice coniugi suae sanctissimae et Corelliae Melete delicatae suae et libertis libertabus que suis in fronte pedes XX in agro pedes XXX hoc monumentum heredem non sequetur","43.5441591","16.4919213"
"EDCS-28000192","CIL 03, 02419","Dalmatia","Solin / Salona","Salona","1","150","liberti/libertae;  mulieres;  tituli sepulcrales;  tria nomina","Lollia L(uci) l(iberta) Musa / hic sita","Lollia Luci liberta Musa hic sita","43.5441591","16.4919213"
"EDCS-28000197","CIL 03, 02424 (p 1509)","Dalmatia","Solin / Salona","Salona","1","150","mulieres;  tituli sepulcrales;  tria nomina;  viri","L(ucio) Lupulano Lybio coniugi / pientissimo","Lucio Lupulano Lybio coniugi pientissimo","43.5441591","16.4919213"
"EDCS-28000202","CIL 03, 02429","Dalmatia","Solin / Salona","Salona","1","150","liberti/libertae;  mulieres;  tituli sepulcrales;  tria nomina;  viri","C(aio) Mario C(ai) l(iberto) Herme / Mariae C(ai) l(ibertae) / Prepusae Vi/toria C(ai) et M(arci) / l(iberta) Sever(a) p(osuit)","Caio Mario Cai liberto Herme Mariae Cai libertae Prepusae Vitoria Cai et Marci liberta Severa posuit","43.5441591","16.4919213"
"EDCS-28000205","CIL 03, 02432","Dalmatia","Solin / Salona","Salona","1","150","mulieres","Ma]ximinae","Maximinae","43.5441591","16.4919213"
