"","place"
"339","Prozor / Arupium"
"340","Prozor / Prozor-Rama / Bistua Vetus"
"341","Prud"
"342","Puljane / Pugliane / Burnum"
"343","Punta Kriza"
"344","Rab, Otok / Arba"
"345","Radoinja"
"346","Ramljane / Municipium Magnum"
"347","Rasici"
"348","Raslina"
"349","Rastevic / Nedinum"
"350","Renc"
"351","Resanovci"
"352","Ribic / Raetinium"
"353","Rijeka / Tarsatica"
"354","Risan / Risano / Risinium"
"355","Rogatica / Ris[]"
"356","Roski slap"
"357","Rudo / Municipium Malvesatium"
"358","Ruduse / Rudusa"
"359","Runovici / Runovic / Novae"
"360","Rupotine / Rupotina / Salona"
"361","Ruzic / Balijna Glavica / Municipium Magnum"
"362","Sarajevo / Aquae S[]"
"363","Sarajlije / Delminium"
"364","Scepan Krst"
"365","Scit"
"366","Seget Donji / Tragurium"
"367","Seljane"
"368","Seljasnica"
"369","Senj / Segna / Zengg / Senia"
"370","Shkoder / Shkodra / Skutari / Scodra"
"371","Sibenik / Rider"
"372","Sinj / Osinium"
"373","Sipovo / Baloie"
"374","Siroka Kula"
"375","Sitarice"
"376","Skabrnja / Nedinum"
"377","Skelani / Municipium Malvesatium"
"378","Skradin / Scardona"
"379","Skrip / Brattia"
"380","Smokovljani / Smocovljae"
"381","Smoljana"
"382","Solin / Salona"
"383","Solta, Otok / Solentia"
"384","Sovici"
"385","Split / Spalatum"
"386","Srebrenica / Domavium"
"387","Srednja Gora"
"388","Srinjine / Pituntium"
"389","Stari Grad / Argyruntum"
"390","Stari Majdan"
"391","Stari Ras / Ras"
"392","Staro Selo"
"393","Stipanici / Stipanjici"
"394","Stobrec / Epetino / Epetium"
"395","Stolac / Rotimlja / Megjina / Diluntum"
"396","Ston"
"397","Stranjani"
"398","Strmca / Stermizza / Burnum"
"399","Suhaca / Delminium"
"400","Suica / Delminium"
"401","Suplja crkva"
"402","Surmanci"
"403","Sveti Juraj / Lopsica"
"404","Svitava"
"405","Takovo"
"406","Tasovcici / Narona / Ad Turres"
"407","Tepljuh / Promona"
"408","Tihaljina"
"409","Tomislavgrad / Duvno / Zupanjac / Delminium"
"410","Travnik"
"411","Trebinje"
"412","Trebizat"
"413","Trgoviste"
"414","Trijebanj"
"415","Trilj / Tilurium"
"416","Trogir / Tragurium"
"417","Trpanj"
"418","Trsat / Tersatto / Tarsatica"
"419","Trsteno / Cannosa"
"420","Tubici"
"421","Tucepi"
"422","Tuckovo"
"423","Turbe"
"424","Udbina"
"425","Udreznje"
"426","Umljanovic / Municipium Magnum"
"427","Ustikolina"
"428","Uzdolje"
"429","Uzice"
"430","Uzovnica"
"431","Vagan"
"432","Vau i Dejes / Vau-Deja"
"433","Vele Srakane / Canidole Grande"
"434","Veli Bijac / Bijaci / Bijaca / Siculi"
"435","Velic"
"436","Velika Kladusa"
"437","Velika Kopanica / Kopjenica"
"438","Vid / Narona"
"439","Vig"
"440","Viganj"
"441","Vina"
"442","Vinalic"
"443","Vis / Issa"
"444","Visegrad / Municipium Malvesatium"
"445","Visibaba"
"446","Visoka"
"447","Visoki"
"448","Vitalj, Otocac / Arupium"
"449","Vitez"
"450","Vitina"
"451","Vojnic Sinjski / Tilurium"
"452","Voljevac"
"453","Vrana"
"454","Vranjic / Vragnizza / Salona"
"455","Vratnik"
"456","Vrba / Municipium Salvium"
"457","Vrebac / Ancus"
"458","Vrgorac / Vergorazza / Vergoratz"
"459","Vrlika / Vrlica / Salona"
"460","Vrtoce"
"461","Vrutci"
"462","Zabrde"
"463","Zadar / Iader"
"464","Zaostrog / Zastrogh"
"465","Zenica"
"466","Zivogosce"
"467","Zljebac"
"468","Zmijavci"
"469","Zrnovnica / Salona"
"470","Zupa"
"471","Zvornik / Ad Drinum / Domavium"
"472","Swischtow / Svishtov / Svistov / Staklen / Novae"
"473","Visnjica / Singidunum"
"474","Gradac"
"475","Aquileia"
"476","Padova / Patavium"
"477",NA
