"EDCS-ID","publication","province","place","cleaned_place","dating_from","dating_to","status","inscription","inscription_interpretive_cleaning","latitude","longitude"
"EDCS-28300035","CIL 03, 02709 (p 2328,154) = D 02252 = Legio-VII 00002","Dalmatia","Gardun / Tilurium","Tilurium","9","42","milites;  praenomen et nomen;  tituli sepulcrales;  viri","T(itus) Ancharenus / T(iti) f(ilius) Ser(gia) / dom(o) Laranda / mil(es) leg(ionis) VII an(norum) / XLIV stip(endiorum) XXIII / h(ic) s(itus) e(st)","Titus Ancharenus Titi filius Sergia domo Laranda miles legionis VII annorum XLIV stipendiorum XXIII hic situs est","43.6099573","16.7139587"
"EDCS-28300036","CIL 03, 02710 = CIL 03, 09726 = D 02253 = Legio-VII 00012","Dalmatia","Gardun / Tilurium","Tilurium","1","40","milites;  tituli sepulcrales;  tria nomina;  viri","Cn(aeus) Domiti/us Cn(aei) f(ilius) Vel(ina) / Pessinunte / an(norum) XLIV stip(endiorum) / XXV veteran(us) / ex leg(ione) VII h(ic) s(itus) e(st) / testamento / fieri iussit","Cnaeus Domitius Cnaei filius Velina Pessinunte annorum XLIV stipendiorum XXV veteranus ex legione VII hic situs est testamento fieri iussit","43.6099573","16.7139587"
"EDCS-28300037","CIL 03, 02711","Dalmatia","Gardun / Tilurium","Tilurium","9","69","milites;  ordo equester;  ordo senatorius;  tria nomina;  viri","P(ublius) Apulanus P(ubli) f(ilius) / Pol(lia) Sabinus / domo E<p=T>or<e=F>d(ia) / tri(bunus) mil(itum) leg(ionis) XI / N IM","Publius Apulanus Publi filius Pollia Sabinus domo Eporedia tribunus militum legionis XI N IM","43.6099573","16.7139587"
"EDCS-28300038","CIL 03, 02712 (p 2328,154) = CIL 03, 09727","Dalmatia","Gardun / Tilurium","Tilurium","61","70","milites;  tituli sepulcrales;  tria nomina;  viri","M(arcus) Elvadius Mac<er=RF>(?) / eq(ues) alae Claudiae Novae / dom(o) Cugernus ann(orum) XXX stip(endiorum) XII / t(estamento) f(ieri) i(ussit) / Ti(berius) Claudius Aurelius / her(es) pos(uit)","Marcus Elvadius MacerF eques alae Claudiae Novae domo Cugernus annorum XXX stipendiorum XII testamento fieri iussit Tiberius Claudius Aurelius heres posuit","43.6099573","16.7139587"
"EDCS-28300039","CIL 03, 02713","Dalmatia","Gardun / Tilurium","Tilurium","1","150","milites;  tria nomina;  viri","C(aius) Helvius C(ai) [f(ilius)] / Macer Ulp(ia) mil(es) / [","Caius Helvius Cai filius Macer Ulpia miles","43.6099573","16.7139587"
"EDCS-28300040","CIL 03, 02714 (p 1475) = CIL 03, 09736 = Legio-VII 00022","Dalmatia","Gardun / Tilurium","Tilurium","9","56","milites;  praenomen et nomen;  tituli sepulcrales;  viri","C(aius) Iulius C(ai) f(ilius) / V(o)ltinia Clistin/na mil(es) leg(ionis) VII / ann(orum) XL stip(endiorum) XIIX / h(ic) s(itus) e(st)","Caius Iulius Cai filius Voltinia Clistinna miles legionis VII annorum XL stipendiorum XIIX hic situs est","43.6099573","16.7139587"
"EDCS-28300041","CIL 03, 02715 = Legio-VII 00024","Dalmatia","Gardun / Tilurium","Tilurium","42","100","milites;  praenomen et nomen;  tituli sepulcrales;  viri","M(arcus) Iulius M(arci) f(ilius) / Trernahensis / miles leg(ionis) VII C(laudiae) P(iae) F(idelis) / an(norum) XXXXV stip(endiorum) XX / M(arcus) A<rr=II>untius frater <et=N> / [he]r<e=I>] po<s=I>ui<t=I> / h(ic) s(itus) e(st)","Marcus Iulius Marci filius Trernahensis miles legionis VII Claudiae Piae Fidelis annorum XXXXV stipendiorum XX Marcus ArrIuntius frater et here posuit hic situs est","43.6099573","16.7139587"
"EDCS-28300042","CIL 03, 02716 (p 1610, 2269) = Legio-VII 00046","Dalmatia","Gardun / Tilurium","Tilurium","9","56","milites;  praenomen et nomen;  tituli sepulcrales;  viri","Q(uintus) Oppius Q(uinti) f(ilius) / Pol(lia) Foro Corne(lii) / signifer leg(ionis) VII / ann(orum) XXX stip(endiorum) VIII / h(ic) s(itus) e(st) heres pos(ui)t","Quintus Oppius Quinti filius Pollia Foro Cornelii signifer legionis VII annorum XXX stipendiorum VIII hic situs est heres posuit","43.6099573","16.7139587"
"EDCS-24400345","CIL 03, 02717 = CIL 03, 09728 = Philippi 00708 = Legio-VII 00061 = CIPh-02-01, p 398","Dalmatia","Gardun / Tilurium","Tilurium","9","56","milites;  praenomen et nomen;  tituli sepulcrales","L(ucius) Valerius L(uci) f(ilius) Volt(inia) / domo Philippis / mil(es) leg(ionis) VII ann(orum) XXXV / stip(endiorum) XV h(ic) s(itus) e(st) / t(estamento) f(ieri) i(ussit)","Lucius Valerius Luci filius Voltinia domo Philippis miles legionis VII annorum XXXV stipendiorum XV hic situs est testamento fieri iussit","43.6099573","16.7139587"
"EDCS-28300043","CIL 03, 02718 (p 1610)","Dalmatia","Gardun / Tilurium","Tilurium","14","37","Augusti/Augustae;  tituli sepulcrales;  tria nomina;  viri","M(arcus) Vireius T(iti) [f(ilius)] Celer Leo domo / Augusta Ba[g]ie[n(norum)] donatus a / Tib(erio) C(a)esare tor(quibus) armillis fale[ris(!)]","Marcus Vireius Titi filius Celer Leo domo Augusta Bagiennorum donatus a Tiberio Caesare torquibus armillis faleris","43.6099573","16.7139587"
"EDCS-28300047","CIL 03, 02722 = CIL 03, 09729 = CLE + 00145 = CLE 01536 = AE 2008, +00017","Dalmatia","Gardun / Tilurium","Tilurium","1","150","carmina;  tituli operum;  tituli sepulcrales;  tria nomina;  viri","C(aius) Laberius (!) f(ilius) / [3]es ann(orum) VII / h(ic) s(itus) e(st) / hunc titulum posuit tibi fidus amicus ult<i=U>ma / quae potui debita pers[o]lvi / non dolere mater faciundum fuit properavit / aetas voluit hoc astrum meum vale et priores / aetate te tollant hunc luctum tibi","Caius Laberius filius es annorum VII hic situs est hunc titulum posuit tibi fidus amicus ultima quae potui debita persolvi non dolere mater faciundum fuit properavit aetas voluit hoc astrum meum vale et priores aetate te tollant hunc luctum tibi","43.6099573","16.7139587"
"EDCS-28300048","CIL 03, 02723 (p 2328,154)","Dalmatia","Gardun / Tilurium","Tilurium","51","100","nomen singulare;  praenomen et nomen;  servi/servae;  tituli sepulcrales;  viri","Honesimus / T(iti) Septumi / ser(vus) ann(orum) XV / h(ic) s(itus) e(st) dominus / bene merito / p(osuit)","Honesimus Titi Septumi servus annorum XV hic situs est dominus bene merito posuit","43.6099573","16.7139587"
"EDCS-28300051","CIL 03, 02726","Dalmatia","Gardun / Tilurium","Tilurium","1","150","mulieres;  tituli sepulcrales;  tria nomina","Titi(a)e Pro/cillae an/norum / XXXVI / [","Titiae Procillae annorum XXXVI","43.6099573","16.7139587"
"EDCS-28300052","CIL 03, 02727","Dalmatia","Gardun / Tilurium","Tilurium","1","150","tituli sepulcrales","] / h(ic) s(itus?) e(st)","hic situs est","43.6099573","16.7139587"
"EDCS-30100403","CIL 03, 09733 (p 1475) = CLE 00077 = Legio-VII 00008","Dalmatia","Gardun / Tilurium","Tilurium","9","56","carmina;  milites;  tituli operum;  tituli sepulcrales;  tria nomina;  viri","Q(uintus) Baebius Q(uinti) f(ilius) Serg(ia) Conan(is) / miles leg(ionis) VII ann(orum) XXXXV / stip(endiorum) XX h(ic) s(itus) e(st) / quamvis lasse viator rogo ne graveris et / tumulum contempla meum lege et moraris iam / aliquid resciveris dum vixi hilaris iucundus amicis / nunc to[rpen]s iaceo hic o[ssa req]u[ies]cunt mea natus / sum C<o=A>n<a=O>nis conditu(s) in Ill<y=U>rico vale et bene / facito vitae dum fatum venit / frater fratri","Quintus Baebius Quinti filius Sergia Conanis miles legionis VII annorum XXXXV stipendiorum XX hic situs est quamvis lasse viator rogo ne graveris et tumulum contempla meum lege et moraris iam aliquid resciveris dum vixi hilaris iucundus amicis nunc torpens iaceo hic ossa requiescunt mea natus sum Conanis conditus in Illyrico vale et bene facito vitae dum fatum venit frater fratri","43.6099573","16.7139587"
"EDCS-30100404","CIL 03, 09734 (p 1475, 2269) = ILJug-01, 00146 = Legio-VII 00026","Dalmatia","Gardun / Tilurium","Tilurium","9","56","milites;  nomen singulare;  praenomen et nomen;  tituli sepulcrales;  viri","L(ucius) Cornelius L(uci) f(ilius) / Fab(ia) Heraclea / mil(es) leg(ionis) VII ann(orum) / XXXIII stip(endiorum) XII t(estamento) f(ieri) i(ussit) / Secundus h(eres) p(osuit) / h(ic) s(itus) e(st)","Lucius Cornelius Luci filius Fabia Heraclea miles legionis VII annorum XXXIII stipendiorum XII testamento fieri iussit Secundus heres posuit hic situs est","43.6099573","16.7139587"
"EDCS-30100405","CIL 03, 09735","Dalmatia","Gardun / Tilurium","Tilurium","71","130","milites;  nomen singulare;  tituli sepulcrales;  viri","Eu]genio(?) Eucisi f(ilio) / eq(uiti) ala(e) Frontoni(nianae) / an(norum) XL stip(endiorum) XX / Nemis Sige h(ic) s(itus) e(st) / frat{e}res frat{e}r(i) / fecerunt","Eugenio Eucisi filio equiti alae Frontoninianae annorum XL stipendiorum XX Nemis Sige hic situs est fratres fratri fecerunt","43.6099573","16.7139587"
"EDCS-30100406","CIL 03, 09737 (p 1475) = Legio-VII 00034","Dalmatia","Gardun / Tilurium","Tilurium","1","42","milites;  praenomen et nomen;  tituli sepulcrales;  viri","C(aius) Longinus C(ai) f(ilius) / Cor(nelia) Amblada / mil(es) leg(ionis) VII an(norum) XL / stip(endiorum) XXI h(ic) s(itus) e(st) / frater fratri","Caius Longinus Cai filius Cornelia Amblada miles legionis VII annorum XL stipendiorum XXI hic situs est frater fratri","43.6099573","16.7139587"
"EDCS-30100409","CIL 03, 09741 (p 1475) = Legio-VII 00068","Dalmatia","Gardun / Tilurium","Tilurium","9","56","milites;  praenomen et nomen;  tituli sepulcrales;  viri","M(arcus) Vibius M(arci) f(ilius) / Aem(ilia) D<y=U>rra(chio) / mil(es) leg(ionis) VII / ann(orum) XXX stip(endiorum) VII / h(ic) s(itus) e(st) / [3]lius h(eres) p(osuit)","Marcus Vibius Marci filius Aemilia Dyrrachio miles legionis VII annorum XXX stipendiorum VII hic situs est lius heres posuit","43.6099573","16.7139587"
"EDCS-30100410","CIL 03, 09742 (p 1475) = Legio-VII 00071","Dalmatia","Gardun / Tilurium","Tilurium","9","56","milites;  tituli sepulcrales;  viri","] / C[3 P]ol(lia) Aese / mil(es) leg(ionis) VII / ann(orum) XXX / stip(endiorum) VII h(ic) s(itus) e(st)","C Pollia Aese miles legionis VII annorum XXX stipendiorum VII hic situs est","43.6099573","16.7139587"
"EDCS-30100411","CIL 03, 09744","Dalmatia","Gardun / Tilurium","Tilurium","1","150","tituli sepulcrales;  viri","]ITNAI[3] / LIVOS AN[3] / et Faustus [3] / ann(orum) XII","ITNAI LIVOS AN et Faustus annorum XII","43.6099573","16.7139587"
