"","findspot_ancient_clean","Longitude","Latitude","n"
"71","NULL",19.7176308,43.2309869,2
"72","NULL",20.0772378,42.3723673,2
"73","Salthua",18.6462,42.7661,2
"74","Tarsatica",14.4444,45.3278,2
"75","Ad Turres",17.625,43.0801,1
"76","Aquae S(---)",18.3426533,43.9016526,1
"77","Arupium",15.2789,44.8428,1
"78","Boa, insula",16.3388,43.4995,1
"79","Cissa, insula",15.207,44.3262,1
"80","Delminium",17.0825198,43.6908323,1
"81","Domavium",19.3585,44.1375,1
"82","Fulfinum",14.5441,45.204,1
"83","Hedum Castellum Daesitiatium",18.2782592,43.9902346,1
"84","Laurento",17.0580946,43.2651336,1
"85","Lopsica",14.9201,44.9283,1
"86","NULL",14.3162906,44.5759408,1
"87","NULL",14.3927571,44.6935722,1
"88","NULL",15.0315195,44.0211315,1
"89","NULL",15.0728046,44.5277802,1
"90","NULL",15.1840255,44.2430736,1
"91","NULL",15.3220745,43.805438,1
"92","NULL",15.4641845,44.1170532,1
"93","NULL",15.6335444,44.1358546,1
"94","NULL",15.669073,44.0203427,1
"95","NULL",15.7403448,44.4509084,1
"96","NULL",15.8964835,43.7337065,1
"97","NULL",16.0072244,44.0160408,1
"98","NULL",16.032173,43.9743322,1
"99","NULL",16.0454253,43.9559481,1
"100","NULL",16.1994,44.0408,1
"101","NULL",16.199433,44.04085,1
"102","NULL",16.4919213,43.5441591,1
"103","NULL",16.4969241,43.5402396,1
"104","NULL",16.5206,43.6922,1
"105","NULL",16.6534966,43.7425382,1
"106","NULL",16.654819,43.3239838,1
"107","NULL",16.6582352,44.0718561,1
"108","NULL",16.7779,43.871,1
"109","NULL",17.1008778,44.2850487,1
"110","NULL",17.2733543,43.0080442,1
"111","NULL",17.2795401,43.1404702,1
"112","NULL",17.3306923,43.4024187,1
"113","NULL",17.4773288,43.2403439,1
"114","NULL",17.5120379,43.2007125,1
"115","NULL",17.5341165,44.5634184,1
"116","NULL",17.6897181,42.8566583,1
"117","NULL",17.7496291,44.1742841,1
"118","NULL",17.7534084,44.1661984,1
"119","NULL",17.791462,44.150409,1
"120","NULL",17.82552,43.6850325,1
"121","NULL",17.8708226,42.8848331,1
"122","NULL",17.8843332,43.6968033,1
"123","NULL",17.8904391,43.2575855,1
"124","NULL",17.9055721,44.2010759,1
"125","NULL",17.9624801,43.6534733,1
"126","NULL",18.0012121,43.1425604,1
"127","NULL",18.0782775,43.9438172,1
"128","NULL",18.0791069,43.9586303,1
"129","NULL",18.1138889,43.2286111,1
"130","NULL",18.1189478,44.1301029,1
"131","NULL",18.3866868,43.8519774,1
"132","NULL",18.5324678,43.1681651,1
"133","NULL",18.9488746,42.7739559,1
"134","NULL",19.0671192,42.1321157,1
"135","NULL",19.4107265,42.2043216,1
"136","NULL",19.437214,42.2112922,1
"137","NULL",19.8154494,43.4597045,1
"138","NULL",21.3558995,44.9899459,1
"139","Nicopolis ad Istrum",24.8947,43.7009,1
"140","Ris---",18.9996,43.7977,1
"141","Risinium",18.6945,42.5164,1
"142","Salonae",16.4919213,43.5441591,1
"143","Scodra",19.5277,42.0743,1
