"","findspot_ancient_clean","Longitude","Latitude","n"
"1","Salonae",16.4743,43.5384,3362
"2","Narona",17.625,43.0801,222
"3","Iader",15.223778,44.115501,156
"4","Burnum",15.9936,44.0317,136
"5","Asseria",15.6844,44.0103,125
"6","Raetinium",15.9292,44.7885,119
"7","Rider",16.0486,43.7034,116
"8","Doclea",19.2615,42.469,98
"9","Municipium Malvesiatium",19.5333,43.9667,96
"10","Tilurium",16.689,43.6139,96
"11","Municipium S[---]",19.3204,43.3424,94
"12","Aequum",16.6547,43.7423,92
"13","Aenona",15.1842,44.2435,70
"14","Bigeste",17.5271,43.1818,63
"15","Municipium Salvium",16.8281,44.1301,61
"16","NULL",16.3977809,43.9096687,59
"17","Nedinum",15.5095,44.0721,57
"18","Epetium",16.5235,43.4987,55
"19","Delminium",17.2302,43.7183,52
"20","Tragurium",16.524,43.5594,50
"21","Risinium",18.6969,42.5098,43
"22","Albona",14.1232,45.0949,42
"23","Corinium",15.6256,44.1075,42
"24","Pituntium",16.5681,43.4741,40
"25","Varvaria",15.9051,43.8892,40
"26","Domavium",19.3585,44.1375,38
"27","Epidaurum",18.2137,42.5848,38
"28","Municipium Magnum",16.2988,43.8047,35
"29","Scardona",15.9208,43.8227,35
"30","Novae",17.1968,43.4057,31
"31","Promona",16.2114,43.8955,30
"32","Ninia",16.1994,44.0408,29
"33","Siculi",16.3004,43.5306,29
"34","Acruvium",18.689,42.4438,28
"35","Andetrium",16.5206,43.6922,28
"36","Apsorus",14.3919,44.693,28
"37","Flanona",14.1801,45.1382,23
"38","Arba",14.7596,44.7565,22
"39","Issa, insula",16.1865,43.0655,22
"40","Senia",14.902,44.9931,22
"41","Arupium",15.2789,44.8428,21
"42","NULL",16.654819,43.3239838,21
"43","Brattia, insula",16.5444,43.3436,20
"44","Ansium",15.666,44.179,18
"45","NULL",17.9624801,43.6534733,18
