"","findspot_ancient_clean","Longitude","Latitude","n"
"155","NULL",19.52307,43.58397,2
"156","NULL",19.7176308,43.2309869,2
"157","NULL",19.95649,43.97333,2
"158","Nareste",14.0623337,46.4323791,2
"159","Nareste",17.62585,43.08041,2
"160","Pharia, insula",16.4428,43.1725,2
"161","Ris---",18.9996,43.7977,2
"162","Risinium",18.6945,42.5164,2
"163","Tarsatica",14.4444,45.3278,2
"164","Ad Dianam (Salonae)",16.3891,43.5085,1
"165","Ad Turres",14.6942,45.1716,1
"166","Ad Turres",17.625,43.0801,1
"167","Aequum - Tilurium, bei",16.6547,43.7423,1
"168","Aquae S(---)",18.34265,43.90165,1
"169","Avendo",15.1447,44.92,1
"170","Brattia, insula",16.8377,43.33319,1
"171","Capedunum",19.6639,43.8561,1
"172","Castra",17.0998,44.785,1
"173","Decimin",16.6534966,43.7425382,1
"174","Delminium",17.08252,43.69083,1
"175","Fulfinum",14.5441,45.204,1
"176","Hedum Castellum Daesitiatium",18.27826,43.99023,1
"177","Laurento",17.05809,43.26513,1
"178","Lopsica",14.9201,44.9283,1
"179","Melite, insula",17.54632,42.74598,1
"180","Metulum",15.2771,45.2255,1
"181","Muccurum",17.0178,43.2969,1
"182","NULL",11.87345,45.40772,1
"183","NULL",14.31629,44.57594,1
"184","NULL",14.39276,44.69357,1
"185","NULL",14.6927906,45.1737049,1
"186","NULL",15.0315195,44.0211315,1
"187","NULL",15.0728046,44.5277802,1
"188","NULL",15.2356,44.86885,1
"189","NULL",15.24522,45.61428,1
"190","NULL",15.26479,44.84999,1
"191","NULL",15.2753538,44.716409,1
"192","NULL",15.2789,44.8428,1
"193","NULL",15.3220745,43.805438,1
"194","NULL",15.4557,44.6142,1
"195","NULL",15.5074982,45.1620908,1
"196","NULL",15.6492241,44.4605051,1
"197","NULL",15.67193,44.50937,1
"198","NULL",15.6844,44.0103,1
"199","NULL",15.8465272,44.2985234,1
"200","NULL",15.89648,43.73371,1
"201","NULL",15.92337,43.81787,1
"202","NULL",15.93491,44.36122,1
"203","NULL",15.9936,44.0317,1
"204","NULL",16.0072244,44.0160408,1
"205","NULL",16.03217,43.97433,1
"206","NULL",16.04543,43.95595,1
"207","NULL",16.15091,44.94166,1
"208","NULL",16.19665,43.93863,1
"209","NULL",16.1994,44.0408,1
"210","NULL",16.23382,43.97516,1
"211","NULL",16.2605765,43.3996977,1
"212","NULL",16.3359971,43.6416336,1
"213","NULL",16.3573198,43.9793545,1
"214","NULL",16.37607,45.0493,1
"215","NULL",16.4032543,43.9525497,1
"216","NULL",16.40995,43.33851,1
"217","NULL",16.43213,44.60114,1
"218","NULL",16.45102,43.84888,1
"219","NULL",16.49692,43.54024,1
"220","NULL",16.5206,43.6922,1
"221","NULL",16.52133,43.50039,1
"222","NULL",16.5792,44.54902,1
"223","NULL",16.60341,43.35461,1
"224","NULL",16.7231516,43.8910198,1
"225","NULL",16.7779,43.871,1
"226","NULL",16.8178684,44.4195055,1
"227","NULL",16.9171227,43.409082,1
"228","NULL",17.07507,43.24335,1
"229","NULL",17.10221,42.98206,1
"230","NULL",17.13245,44.37559,1
"231","NULL",17.2675,44.0266667,1
"232","NULL",17.33069,43.40242,1
"233","NULL",17.47733,43.24034,1
"234","NULL",17.5120379,43.2007125,1
"235","NULL",17.52865,43.80061,1
"236","NULL",17.528889,43.182222,1
"237","NULL",17.583559,43.9385698,1
"238","NULL",17.6897181,42.8566583,1
"239","NULL",17.70232,45.16708,1
"240","NULL",17.7145162,43.2110013,1
"241","NULL",17.7534084,44.1661984,1
"242","NULL",17.82552,43.68503,1
"243","NULL",17.83826,44.23113,1
"244","NULL",17.8708226,42.8848331,1
"245","NULL",17.88438,43.24186,1
"246","NULL",17.95078,42.68587,1
"247","NULL",18.0012121,43.1425604,1
"248","NULL",18.0235889,44.0038431,1
"249","NULL",18.1041299,43.5040612,1
"250","NULL",18.1138889,43.2286111,1
"251","NULL",18.2025181,43.8226456,1
"252","NULL",18.2137,42.5848,1
"253","NULL",18.3229637,43.0283751,1
"254","NULL",18.4200399,43.2078027,1
"255","NULL",18.44108,42.79687,1
"256","NULL",18.51507,42.40107,1
"257","NULL",18.6223,43.51423,1
"258","NULL",18.94887,42.77396,1
"259","NULL",18.97023,45.36018,1
"260","NULL",18.976111,43.568889,1
"261","NULL",18.98821,44.70739,1
"262","NULL",18.99318,42.74537,1
"263","NULL",19.0671192,42.1321157,1
"264","NULL",19.29528,44.10632,1
"265","NULL",19.35847,43.35656,1
"266","NULL",19.437214,42.2112922,1
"267","NULL",19.56675,43.37604,1
"268","NULL",19.59221,43.37162,1
"269","NULL",19.6252327,43.4596534,1
"270","NULL",19.63998,42.00745,1
"271","NULL",19.7828811,44.3374388,1
"272","NULL",19.81545,43.4597,1
"273","NULL",20.05104,44.49856,1
"274","NULL",20.40036,41.9658928,1
"275","NULL",20.41648,42.01056,1
"276","NULL",21.3558995,44.9899459,1
"277","NULL",22.0825,42.36417,1
"278","Nareste",16.49192,43.54416,1
"279","Nareste",16.69133,43.44471,1
"280","Nicopolis ad Istrum",24.8947,43.7009,1
"281","Risinum",18.6945,42.5164,1
"282","Salonae",15.6844,44.0103,1
"283","Salonae",16.447,43.5223,1
"284","Salonae",16.524,43.5594,1
"285","Salonae bei",16.4743,43.5384,1
"286","Salonae; Salonae",16.4743,43.5384,1
"287","Salonae; Salonae bei",16.4743,43.5384,1
