"","findspot_ancient_clean","Longitude","Latitude","n"
"119","NULL",17.2705155,44.3395173,1
"120","NULL",17.4508821,44.0642198,1
"121","NULL",17.5341165,44.5634184,1
"122","NULL",17.6414199,43.2727063,1
"123","NULL",17.7148646,43.2180292,1
"124","NULL",17.7496291,44.1742841,1
"125","NULL",17.8843332,43.6968033,1
"126","NULL",18.0402685,43.9494237,1
"127","NULL",18.3866868,43.8519774,1
"128","NULL",18.6223041,43.5142306,1
"129","NULL",18.7169444,43.8369444,1
"130","NULL",19.0039015,43.7985694,1
"131","NULL",19.2654984,42.4686384,1
"132","NULL",19.3209528,43.6511643,1
"133","NULL",19.3633333,44.3675,1
"134","NULL",19.3698163,44.1867893,1
"135","NULL",19.7028344,44.2443848,1
"136","NULL",19.7542834,43.5154829,1
"137","NULL",19.7803537,43.792561,1
"138","NULL",19.7819,43.0028,1
"139","NULL",20.4155347,43.1282224,1
"140","NULL",20.7343319,39.0090835,1
"141","Nigra Corcyra, insula",17.1099,42.945,1
"142","Pelva",16.7779,43.871,1
"143","Pharia, insula",16.4428,43.1725,1
"144","Scardona; Tragurium",15.9208,43.8227,1
"145","Scodra",19.5277,42.0743,1
"146","Tarsatica",14.4444,45.3278,1
