"cleaned_place","place","longitude","latitude","group","n"
"Alvona","Labin / Alvona","14.1231931","45.094851","Dated",3
"Bigeste","Hardomilje / Bigeste","17.5493918","43.1575578","Undated",3
"Burnum","Kistanje / Burnum","15.9653321","43.9814264","Undated",3
"Nedinum","Nadin / Nedinum","15.497817","44.0737376","Dated",3
"Promona","Tepljuh / Promona","16.2085222","43.8933717","Dated",3
"Tilurium","Vojnic Sinjski / Tilurium","16.6948645","43.6138233","Dated",3
"Aequum","Citluk / Aequum","16.6534966","43.7425382","Undated",2
"Arba","Rab, Otok / Arba","14.7346385","44.7756866","Dated",2
"Bigeste","Humac / Bigeste","17.5296549","43.1878539","Undated",2
"Bigeste","Ljubuski / Mlade / Bigeste","17.540558","43.1904758","Undated",2
"Burnum","Karlovac / Karlstadt / Burnum","15.5486303","45.4892522","Dated",2
"Municipium Magnum","Ruzic / Balijna Glavica / Municipium Magnum","16.2663102","43.8199367","Dated",2
"Novae","Runovici / Runovic / Novae","17.2354538","43.388890","Dated",2
"Opsorus","Osor / Opsorus","14.3927571","44.6935722","Undated",2
"Osinium","Sinj / Osinium","16.6365238","43.7015963","Dated",2
"Promona","Tepljuh / Promona","16.2085222","43.8933717","Undated",2
"Siculi","Veli Bijac / Bijaci / Bijaca / Siculi","16.2982386","43.5555172","Dated",2
"Spalatum","Split / Spalatum","16.4399659","43.5116383","Undated",2
"Tragurium","Trogir / Tragurium","16.2499724","43.516687","Dated",2
"Aenona","Nin / Aenona","15.1840255","44.2430736","Dated",1
"Aenona","Nin / Aenona","15.1840255","44.2430736","Undated",1
"Argyruntum","Stari Grad / Argyruntum","16.5976553","43.1841534","Dated",1
"Asseria","Asseria","15.6690296","44.0099747","Dated",1
"Asseria","Benkovac / Asseria","15.6125528","44.0333509","Dated",1
"Asseria","Podgrade / Asseria","15.669073","44.0203427","Undated",1
"Bigeste","Veljaci / Bigeste","17.4433546","43.2362774","Dated",1
"Burnum","Kistanje / Burnum","15.9653321","43.9814264","Dated",1
"Burnum","Mokro Polje / Burnum","16.1106256","44.1009583","Dated",1
"Burnum","Puljane / Pugliane / Burnum","16.032173","43.9743322","Dated",1
"Burnum","Strmca / Stermizza / Burnum","14.1999864","45.8315229","Dated",1
"Cliss","Klis / Clissa","16.5237544","43.5587998","Dated",1
"Cliss","Klis / Clissa","16.5237544","43.5587998","Undated",1
"Curictae","Krk, Otok / Curictae","14.5496681","45.0901955","Dated",1
"Delminium","Tomislavgrad / Duvno / Zupanjac / Delminium","17.2303272","43.7165551","Dated",1
"Delminium","Tomislavgrad / Duvno / Zupanjac / Delminium","17.2303272","43.7165551","Undated",1
"Diluntum","Dubrava / Diluntum","17.958448","43.078729","Dated",1
"Diluntum","Stolac / Rotimlja / Megjina / Diluntum","17.9544491","43.0829465","Undated",1
"Doboj","Doboj","18.0847183","44.7313612","Dated",1
"Dobropoljci","Dobropoljci","15.8108052","43.9936545","Dated",1
"Domavium","Gradina / Domavium","18.4200399","43.2078027","Dated",1
"Domavium","Gradina / Domavium","18.4200399","43.2078027","Undated",1
"Flanona","Plomin / Flanona","14.1801746","45.1380212","Dated",1
"Fulfinum","Omisalj / Fulfinum","14.5575259","45.2120215","Dated",1
"Gracac","Gracac","15.8465272","44.2985234","Undated",1
"Gradcina","Gradcina","17.7097222","45.2286111","Undated",1
"Gromile","Gromile","17.1008778","44.2850487","Dated",1
"Hrvace","Hrvace","16.6189503","43.7559711","Dated",1
"Hrvace","Hrvace","16.6189503","43.7559711","Undated",1
"Iader","Galovac / Iader","15.3944579","44.0724549","Dated",1
"Issa","Vis / Issa","16.1834976","43.0599322","Dated",1
"Jesenice","Krug, Jesenice","16.6289431","43.4592662","Dated",1
"Kapitul","Kapitul - Knin","16.1984439","44.0312408","Dated",1
"Kosijerevo","Kosijerevo","18.4606607","42.7968403","Dated",1
"Krinj","Krinj","16.644463","43.7451993","Undated",1
"Mratovo / Burnum","Mratovo / Burnum","16.0454253","43.9559481","Dated",1
"Municipium Malvesatium","Cacak / Malvesiatium","20.3501125","43.8913319","Dated",1
"Murter","Murter","15.6085778","43.799601","Dated",1
"Narona","Metkovic / Narona","17.6519631","43.0536158","Dated",1
"Oneum","Omis / Almissa / Oneum / Onaeum","16.6913309","43.4447124","Undated",1
"Pharia","Hvar / Lesina / Pharia","16.5564721","43.1739813","Dated",1
"Punta Kriza","Punta Kriza","14.4929765","44.6382141","Dated",1
"Rider","Danilo Gornje / Rider","16.0292749","43.706309","Dated",1
"Rider","Sibenik / Rider","15.8964835","43.7337065","Dated",1
"Risinium","Risan / Risano / Risinium","18.6955649","42.5149792","Dated",1
"Risinium","Risan / Risano / Risinium","18.6955649","42.5149792","Undated",1
"Roski slap","Roski slap","15.9750672","43.903745","Dated",1
"Salona","Manastirine / Salona","16.4828374","43.5420376","Dated",1
"Solentia","Solta, Otok / Solentia","16.3249628","43.3695882","Dated",1
"Tarsatica","Trsat / Tersatto / Tarsatica","14.464428","45.3308704","Dated",1
"Tragurium","Seget Donji / Tragurium","16.2272015","43.5179953","Dated",1
"Uzdolje","Uzdolje","16.1966494","43.9386349","Dated",1
"Vagan","Vagan","17.1746449","44.1539086","Dated",1
"Varvaria","Bribir / Bribirska Glavica / Varvaria","15.8398106","43.9214921","Dated",1
"Varvaria","Bribir / Bribirska Glavica / Varvaria","15.8398106","43.9214921","Undated",1
"Velika Kladusa","Velika Kladusa","15.8070634","45.1854105","Undated",1
