"","place","findspot_ancient_clean","findspot_modern_clean","Longitude","Latitude"
"67","Cavkici / Raetinium","Raetinium","Bihać",15.9292,44.7885
"68","Doljani / Raetinium","Raetinium","Bihać",15.9292,44.7885
"69","Golubic / Raetinium","Raetinium","Bihać",15.9292,44.7885
"70","Jezerine, Golubic","Raetinium","Bihać",15.9292,44.7885
"71","Kapitul, Klokot - Bihac","Raetinium","Bihać",15.9292,44.7885
"72","Pritoka / Raetinium","Raetinium","Bihać",15.9292,44.7885
"73","Ribic / Raetinium","Raetinium","Bihać",15.9292,44.7885
"74",NA,"Raetinium","Bihać",15.9292,44.7885
"75","Banja Luka / Castra","Castra","Banja Luka",17.0998,44.785
"76","Mramorje, Cokori","Castra","Banja Luka",17.0998,44.785
"77","Kastelina, Otok / Arba","Arba","Rab",14.7596,44.7565
"78","Rab, Otok / Arba","Arba","Rab",14.7596,44.7565
"79","Rab, Otok / Arba","Arba","Rab, bei",14.7596,44.7565
"80","Doboj","NULL","Kakanj",18.0847183,44.7313612
"81","Gornji Kosinj / Kosinj / Kossin","NULL","Perušić",15.2753538,44.716409
"82","Zabrde","NULL","Andrijevica",18.9882097,44.7073901
"83","Makljenovac","NULL","Doboj",18.0640574,44.7072623
"84","Jablanac / Iapydia","NULL","Perušić",14.8998112,44.706619
"85","Osor / Opsorus","NULL","Mali Lošinj",14.3927571,44.6935722
"86","Cres / Crexa","Apsorus","Mali Lošinj",14.3919,44.693
"87","Mali Losinj / Apsorus","Apsorus","Mali Lošinj",14.3919,44.693
"88","Mali Losinj / Apsorus","Apsorus","Mali Losinj",14.3919,44.693
"89","Osor / Opsorus","Apsorus","Mali Lošinj",14.3919,44.693
"90","Osor / Opsorus","Apsorus","Mali Losinj",14.3919,44.693
"91","Punta Kriza","Apsorus","Mali Lošinj",14.3919,44.693
"92","Krnjeusa","NULL","Bosanski Petrovac",16.2255311,44.6876805
"93","Vrtoce","NULL","Drvar",16.1764005,44.6351728
"94","Komic / Iapydia","NULL","Gospić",15.4557,44.6142
"95","Siroka Kula","Epidotium - Ancus","Gospić",15.4557,44.6142
"96","Siroka Kula","NULL","Gospić",15.4557,44.6142
"97","Smoljana","NULL","Bosanski Petrovac",16.432128,44.6011377
